indicator,pitc_reduction_year,test_reduction,scenario,discount,mean,median,upper_CI,lower_CI,future_variability,future_value,cumulative_years
TotHIV15,2025,0,absolute_dif,undiscounted,61019483,62355740,68241739.25,51121271.75,condom_reduction,3,50
TotHIV15,2025,0,annual_absolute_dif,undiscounted,61019483,62355740,68241739.25,51121271.75,condom_reduction,3,50
TotHIV15,2025,0,annual_percent_change,undiscounted,1217.558493062024,1246.9622871682486,1320.0765910418722,1043.72614939144,condom_reduction,3,50
TotHIV15,2025,0,baseline,undiscounted,340049762,338142095,351599068.5,331167306.75,condom_reduction,3,50
TotHIV15,2025,0,intervention,undiscounted,401069245,398270110,419456408.75,386282485.75,condom_reduction,3,50
TotHIV15,2025,0,percent_change,undiscounted,17.932391721552733,18.395701007108755,19.535927717659597,15.164188128755764,condom_reduction,3,50
TotProtSexActs,2025,0,absolute_dif,undiscounted,-1578033700,-1583445500,-1531942800,-1604831675,condom_reduction,3,50
TotProtSexActs,2025,0,annual_absolute_dif,undiscounted,-1578033700,-1583445500,-1531942800,-1604831675,condom_reduction,3,50
TotProtSexActs,2025,0,annual_percent_change,undiscounted,-641.0741786465358,-647.5393113305736,-613.6521309622708,-653.7373455235561,condom_reduction,3,50
TotProtSexActs,2025,0,baseline,undiscounted,12346787400,12278941500,12968577225,11826529100,condom_reduction,3,50
TotProtSexActs,2025,0,intervention,undiscounted,10768753700,10696226000,11382542525,10289703575,condom_reduction,3,50
TotProtSexActs,2025,0,percent_change,undiscounted,-12.787772332698355,-12.919601439657535,-12.230013678167808,-13.043202791439604,condom_reduction,3,50
TotSexActs,2025,0,absolute_dif,undiscounted,-81524500,-84001500,-52991449.99999999,-104310725,condom_reduction,3,50
TotSexActs,2025,0,annual_absolute_dif,undiscounted,-81524500,-84001500,-52991449.99999999,-104310725,condom_reduction,3,50
TotSexActs,2025,0,annual_percent_change,undiscounted,-11.726020812723402,-12.191166542003163,-7.57528603048552,-15.003059191756225,condom_reduction,3,50
TotSexActs,2025,0,baseline,undiscounted,34288113400,34223339500,35105919025,33793730125,condom_reduction,3,50
TotSexActs,2025,0,intervention,undiscounted,34206588900,34128664000,35041134450,33713764400,condom_reduction,3,50
TotSexActs,2025,0,percent_change,undiscounted,-0.23793175928307708,-0.24719876218689546,-0.1535753497734044,-0.30471325121983206,condom_reduction,3,50
WomenOnPrEP,2025,0,absolute_dif,undiscounted,-22431887.46,-22408554.25,-22080239.2475,-22670258.610000003,condom_reduction,3,50
WomenOnPrEP,2025,0,annual_absolute_dif,undiscounted,-22431887.46,-22408554.25,-22080239.2475,-22670258.610000003,condom_reduction,3,50
WomenOnPrEP,2025,0,annual_percent_change,undiscounted,-4522.569006944912,-4524.234641410992,-4509.246436422452,-4536.040821933591,condom_reduction,3,50
WomenOnPrEP,2025,0,baseline,undiscounted,25157804.2,25074118.5,25469112.4,24817657.475,condom_reduction,3,50
WomenOnPrEP,2025,0,intervention,undiscounted,2725916.74,2738686.7,2818291.2225,2647829.81,condom_reduction,3,50
WomenOnPrEP,2025,0,percent_change,undiscounted,-89.16466412689194,-89.20352684263801,-88.89064753935006,-89.43632904894645,condom_reduction,3,50
