condom_usage_reduction,simulation_df,pitc_reduction_year,pitc_reduction_percentage,elimination_year,mean_incidence_2100,lower_ci,upper_ci
2,simulation_df,2035,40,2082,8.23878e-4,7.9687805e-4,8.5087795e-4
2,simulation_df,2035,50,NA,0.0010254135,9.69803825e-4,0.001081023175
2,simulation_df,2035,60,NA,0.001266245,0.00117215225,0.00136033775
2,simulation_df,2035,70,NA,0.00155056499999999,0.00140638825,0.00169474174999999
2,simulation_df,2035,80,NA,0.0018805200000000001,0.00167349599999999,0.002087544
2,simulation_df,2035,90,NA,0.002251825,0.00197047775,0.00253317225
2,simulation_df,2035,100,NA,0.00265872,0.002295972,0.003021468
2,simulation_df,2040,0,2061,3.06763e-4,2.8890014999999997e-4,3.2462585e-4
2,simulation_df,2040,10,2063,3.96536e-4,3.8106525e-4,4.1200675e-4
2,simulation_df,2040,20,2066,5.07179e-4,4.9872115e-4,5.156368499999999e-4
2,simulation_df,2040,30,2071,6.420449999999999e-4,6.378678499999999e-4,6.462221500000001e-4
2,simulation_df,2040,40,2079,8.040429999999999e-4,7.8071005e-4,8.2737595e-4
2,simulation_df,2040,50,2100,9.966595e-4,9.46594025e-4,0.001046724975
2,simulation_df,2040,60,NA,0.001226105,0.00113999225,0.00131221775
2,simulation_df,2040,70,NA,0.00149630999999999,0.0013631295,0.00162949049999999
2,simulation_df,2040,80,NA,0.001809525,0.00161700275,0.00200204725
2,simulation_df,2040,90,NA,0.00216226,0.001899053,0.002425467
2,simulation_df,2040,100,NA,0.00254986,0.0022084015,0.0028913185
2,simulation_df,2045,0,2061,3.06763e-4,2.8890014999999997e-4,3.2462585e-4
2,simulation_df,2045,10,2062,3.927315e-4,3.76792875e-4,4.08670125e-4
2,simulation_df,2045,20,2065,4.983625e-4,4.88591275e-4,5.08133725e-4
2,simulation_df,2045,30,2069,6.26783e-4,6.2517275e-4,6.2839325e-4
2,simulation_df,2045,40,2076,7.80588e-4,7.6152245e-4,7.9965355e-4
2,simulation_df,2045,50,2093,9.628265e-4,9.19256175e-4,0.00100639682499999
2,simulation_df,2045,60,NA,0.001179105,0.00110237824999999,0.00125583175
2,simulation_df,2045,70,NA,0.001432945,0.00131280325,0.00155308675
2,simulation_df,2045,80,NA,0.001726575,0.00155147575,0.00190167425
2,simulation_df,2045,90,NA,0.002057155,0.00181615425,0.00229815575
2,simulation_df,2045,100,NA,0.002421105,0.00210641275,0.00273579725
2,simulation_df,2050,0,2061,3.06763e-4,2.8890014999999997e-4,3.2462585e-4
2,simulation_df,2050,10,2062,3.88282e-4,3.7184985e-4,4.0471415e-4
2,simulation_df,2050,20,2064,4.88051e-4,4.7685525e-4,4.992467500000001e-4
2,simulation_df,2050,30,2066,6.089590000000001e-4,6.0773255e-4,6.1018545e-4
2,simulation_df,2050,40,2071,7.532834999999999e-4,7.38991225e-4,7.67575775e-4
2,simulation_df,2050,50,2084,9.236175e-4,8.87365975e-4,9.59869025e-4
2,simulation_df,2050,60,NA,0.001124875,0.00105878825,0.00119096175
2,simulation_df,2050,70,NA,0.001360075,0.00125481975,0.00146533025
2,simulation_df,2050,80,NA,0.00163123,0.00147622799999999,0.001786232
2,simulation_df,2050,90,NA,0.00193603,0.0017210545,0.0021510055
2,simulation_df,2050,100,NA,0.00227176,0.001989116,0.002554404
4,simulation_df,2025,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2025,10,2077,7.0865e-4,7.0773895e-4,7.095610500000001e-4
4,simulation_df,2025,20,2090,8.994335e-4,8.80462475e-4,9.18404525e-4
4,simulation_df,2025,30,NA,0.00113191,0.0010844195,0.0011794005
4,simulation_df,2025,40,NA,0.00141326999999999,0.001327238,0.001499302
4,simulation_df,2025,50,NA,0.00175082,0.001614723,0.0018869170000000001
4,simulation_df,2025,60,NA,0.00215449499999999,0.00195491424999999,0.0023540757500000002
4,simulation_df,2025,70,NA,0.00262698,0.00234996,0.002904
4,simulation_df,2025,80,NA,0.0031646,0.00279765299999999,0.003531547
4,simulation_df,2025,90,NA,0.00375192499999999,0.00328796875,0.00421588125
4,simulation_df,2025,100,NA,0.004373,0.00381402949999999,0.0049319705
4,simulation_df,2030,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2030,10,2077,7.061195e-4,7.048355750000001e-4,7.074034249999999e-4
4,simulation_df,2030,20,2089,8.935424999999999e-4,8.754701750000001e-4,9.11614825e-4
4,simulation_df,2030,30,NA,0.001121575,0.00107567575,0.00116747425
4,simulation_df,2030,40,NA,0.0013972,0.0013136095,0.00148079049999999
4,simulation_df,2030,50,NA,0.001727615,0.00159493325,0.00186029675
4,simulation_df,2030,60,NA,0.002122805,0.00192761325,0.00231799674999999
4,simulation_df,2030,70,NA,0.002585925,0.00231404925,0.00285780075
4,simulation_df,2030,80,NA,0.00311416,0.00275259,0.00347573
4,simulation_df,2030,90,NA,0.00369319,0.00323406449999999,0.0041523155
4,simulation_df,2030,100,NA,0.00430794,0.0037523135,0.0048635665
4,simulation_df,2035,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2035,10,2076,7.02521e-4,7.006741999999999e-4,7.043678000000001e-4
4,simulation_df,2035,20,2088,8.85174e-4,8.684673e-4,9.018807e-4
4,simulation_df,2035,30,NA,0.0011069,0.0010634375,0.0011503625
4,simulation_df,2035,40,NA,0.00137434999999999,0.00129455,0.00145415
4,simulation_df,2035,50,NA,0.00169448999999999,0.0015671995,0.0018217805
4,simulation_df,2035,60,NA,0.002077245,0.00188915925,0.00226533075
4,simulation_df,2035,70,NA,0.002526275,0.00226307275,0.00278947725
4,simulation_df,2035,80,NA,0.00303981,0.00268790149999999,0.0033917185
4,simulation_df,2035,90,NA,0.003605105,0.00315556974999999,0.00405464025
4,simulation_df,2035,100,NA,0.004208395,0.00366087675,0.00475591325
4,simulation_df,2040,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2040,10,2076,6.979225e-4,6.95342775e-4,7.00502225e-4
4,simulation_df,2040,20,2087,8.74508e-4,8.59593e-4,8.89423e-4
4,simulation_df,2040,30,NA,0.00108823999999999,0.001047998,0.00112848199999999
4,simulation_df,2040,40,NA,0.00134531,0.0012705735,0.0014200465
4,simulation_df,2040,50,NA,0.00165232,0.001532335,0.001772305
4,simulation_df,2040,60,NA,0.002018925,0.00184071925,0.00219713075
4,simulation_df,2040,70,NA,0.002449205,0.00219848575,0.00269992424999999
4,simulation_df,2040,80,NA,0.00294248,0.0026052015,0.0032797585
4,simulation_df,2040,90,NA,0.003487835,0.00305396525,0.00392170474999999
4,simulation_df,2040,100,NA,0.004073255,0.00354070874999999,0.00460580125
4,simulation_df,2045,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2045,10,2075,6.924545000000001e-4,6.890216750000001e-4,6.95887325e-4
4,simulation_df,2045,20,2085,8.618685e-4,8.490553750000001e-4,8.74681625e-4
4,simulation_df,2045,30,NA,0.001066215,0.00102977775,0.00110265225
4,simulation_df,2045,40,NA,0.001311115,0.00124240625,0.00137982375
4,simulation_df,2045,50,NA,0.001602675,0.00149150125,0.00171384875
4,simulation_df,2045,60,NA,0.001950115,0.00178404075,0.00211618925
4,simulation_df,2045,70,NA,0.0023577,0.002122746,0.002592654
4,simulation_df,2045,80,NA,0.002825715,0.00250765975,0.00314377025
4,simulation_df,2045,90,NA,0.00334514,0.00293303,0.00375725
4,simulation_df,2045,100,NA,0.003905935,0.00339589425,0.00441597575
4,simulation_df,2050,0,2070,5.51928e-4,5.384788500000001e-4,5.6537715e-4
4,simulation_df,2050,10,2074,6.860595e-4,6.81671925e-4,6.90447075e-4
4,simulation_df,2050,20,2083,8.471360000000001e-4,8.366974000000001e-4,8.575746e-4
4,simulation_df,2050,30,NA,0.00104062999999999,0.00100852,0.00107274
4,simulation_df,2050,40,NA,0.00127152999999999,0.0012097325,0.0013333275
4,simulation_df,2050,50,NA,0.00154531,0.001444344,0.001646276
4,simulation_df,2050,60,NA,0.001870515,0.00171871925,0.00202231075
4,simulation_df,2050,70,NA,0.002251375,0.00203538775,0.00246736225
4,simulation_df,2050,80,NA,0.00268891,0.0023947425,0.0029830775
4,simulation_df,2050,90,NA,0.00317589,0.0027920045,0.0035597755
4,simulation_df,2050,100,NA,0.00370430999999999,0.003225225,0.004183395
6,simulation_df,2025,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2025,10,NA,0.001085795,0.00106171725,0.00110987275
6,simulation_df,2025,20,NA,0.0013613,0.001305972,0.00141662799999999
6,simulation_df,2025,30,NA,0.001696335,0.00159922125,0.00179344875
6,simulation_df,2025,40,NA,0.00209955,0.00194907949999999,0.0022500205
6,simulation_df,2025,50,NA,0.002577375,0.00236154924999999,0.00279320075
6,simulation_df,2025,60,NA,0.003137405,0.00284402125,0.00343078875
6,simulation_df,2025,70,NA,0.003775045,0.00339388125,0.00415620875
6,simulation_df,2025,80,NA,0.00447714,0.004001931,0.004952349
6,simulation_df,2025,90,NA,0.00521806,0.0046497035,0.0057864165
6,simulation_df,2025,100,NA,0.0059766,0.00532557449999999,0.0066276255
6,simulation_df,2030,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2030,10,NA,0.00108248,0.0010588535,0.00110610649999999
6,simulation_df,2030,20,NA,0.001353605,0.00129931724999999,0.00140789275
6,simulation_df,2030,30,NA,0.001683035,0.00158765025,0.00177841975
6,simulation_df,2030,40,NA,0.002079395,0.00193134225,0.00222744775
6,simulation_df,2030,50,NA,0.0025494,0.002336524,0.002762276
6,simulation_df,2030,60,NA,0.00310116,0.00281087799999999,0.00339144199999999
6,simulation_df,2030,70,NA,0.003731005,0.00335246325,0.00410954675
6,simulation_df,2030,80,NA,0.004426805,0.00395298775,0.00490062225
6,simulation_df,2030,90,NA,0.00516375,0.0045948615,0.0057326385
6,simulation_df,2030,100,NA,0.00592084,0.0052669075,0.0065747725
6,simulation_df,2035,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2035,10,NA,0.0010776,0.001054705,0.001100495
6,simulation_df,2035,20,NA,0.00134228999999999,0.001289679,0.00139490099999999
6,simulation_df,2035,30,NA,0.0016634,0.0015708415,0.0017559585
6,simulation_df,2035,40,NA,0.00204948,0.001905498,0.002193462
6,simulation_df,2035,50,NA,0.00250752,0.0022998215,0.0027152185
6,simulation_df,2035,60,NA,0.00304622999999999,0.002761762,0.003330698
6,simulation_df,2035,70,NA,0.00366321,0.0032902685,0.0040361515
6,simulation_df,2035,80,NA,0.00434784499999999,0.00387824575,0.00481744425
6,simulation_df,2035,90,NA,0.005076715,0.00450945575,0.00564397425
6,simulation_df,2035,100,NA,0.005829405,0.00517353925,0.00648527075
6,simulation_df,2040,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2040,10,NA,0.001071295,0.00104937375,0.00109321625
6,simulation_df,2040,20,NA,0.00132766,0.0012773195,0.00137800049999999
6,simulation_df,2040,30,NA,0.001637955,0.00154928675,0.00172662325
6,simulation_df,2040,40,NA,0.00201052,0.00187226649999999,0.0021487735
6,simulation_df,2040,50,NA,0.002452495,0.00225235374999999,0.00265263625
6,simulation_df,2040,60,NA,0.00297315,0.00269766899999999,0.003248631
6,simulation_df,2040,70,NA,0.0035715,0.0032080395,0.0039349605
6,simulation_df,2040,80,NA,0.00423885,0.00377777699999999,0.004699923
6,simulation_df,2040,90,NA,0.00495378,0.00439237749999999,0.0055151825
6,simulation_df,2040,100,NA,0.00569702,0.0050427075,0.0063513325
6,simulation_df,2045,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2045,10,NA,0.0010638,0.001043033,0.00108456699999999
6,simulation_df,2045,20,NA,0.0013103,0.00126267649999999,0.00135792349999999
6,simulation_df,2045,30,NA,0.001607775,0.00152380925,0.00169174075
6,simulation_df,2045,40,NA,0.00196415,0.0018329645,0.0020953355
6,simulation_df,2045,50,NA,0.00238657,0.00219602849999999,0.0025771115
6,simulation_df,2045,60,NA,0.002884665,0.00262111125,0.00314821875
6,simulation_df,2045,70,NA,0.00345881,0.003108811,0.003808809
6,simulation_df,2045,80,NA,0.0041024,0.003654855,0.004549945
6,simulation_df,2045,90,NA,0.004796495,0.00424663975,0.00534635025
6,simulation_df,2045,100,NA,0.00552355,0.0048765715,0.0061705285
6,simulation_df,2050,0,2087,8.588644999999999e-4,8.56967825e-4,8.60761175e-4
6,simulation_df,2050,10,NA,0.00105505,0.001035594,0.001074506
6,simulation_df,2050,20,NA,0.00129007999999999,0.00124557249999999,0.0013345875
6,simulation_df,2050,30,NA,0.001572625,0.00149413125,0.00165111875
6,simulation_df,2050,40,NA,0.00191008,0.0017872545,0.0020329055
6,simulation_df,2050,50,NA,0.00230933,0.00213041649999999,0.0024882435
6,simulation_df,2050,60,NA,0.002780095,0.00253153225,0.00302865774999999
6,simulation_df,2050,70,NA,0.003323905,0.00299175175,0.00365605825
6,simulation_df,2050,80,NA,0.00393625,0.00350810399999999,0.004364396
6,simulation_df,2050,90,NA,0.00460103,0.004070018,0.005132042
6,simulation_df,2050,100,NA,0.00530293,0.004671484,0.005934376
8,simulation_df,2025,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2025,10,NA,0.001519495,0.00146475125,0.00157423875
8,simulation_df,2025,20,NA,0.00188867999999999,0.0017927395,0.00198462049999999
8,simulation_df,2025,30,NA,0.00233295,0.0021848735,0.0024810265
8,simulation_df,2025,40,NA,0.00285879,0.0026479565,0.0030696235
8,simulation_df,2025,50,NA,0.003467725,0.00318494325,0.00375050675
8,simulation_df,2025,60,NA,0.004161385,0.00379916425,0.00452360575
8,simulation_df,2025,70,NA,0.004926445,0.00448070975,0.00537218025
8,simulation_df,2025,80,NA,0.005742095,0.00521296875,0.00627122125
8,simulation_df,2025,90,NA,0.00657774499999999,0.00597132675,0.00718416324999999
8,simulation_df,2025,100,NA,0.007412705,0.00674284575,0.00808256425
8,simulation_df,2030,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2030,10,NA,0.00151541,0.0014611555,0.0015696645
8,simulation_df,2030,20,NA,0.001879405,0.00178449525,0.00197431475
8,simulation_df,2030,30,NA,0.002317435,0.00217090225,0.00246396775
8,simulation_df,2030,40,NA,0.0028363,0.0026273095,0.0030452905
8,simulation_df,2030,50,NA,0.00343817,0.003157122,0.003719218
8,simulation_df,2030,60,NA,0.004125465,0.00376429875,0.00448663125
8,simulation_df,2030,70,NA,0.004885765,0.00443978274999999,0.00533174725
8,simulation_df,2030,80,NA,0.00569889,0.005167745,0.006230035
8,simulation_df,2030,90,NA,0.0065344,0.0059240155,0.0071447845
8,simulation_df,2030,100,NA,0.007371195,0.00669557874999999,0.00804681125
8,simulation_df,2035,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2035,10,NA,0.001509205,0.00145577225,0.00156263775
8,simulation_df,2035,20,NA,0.001865305,0.00177217175,0.00195843825
8,simulation_df,2035,30,NA,0.002293685,0.00214988825,0.00243748175
8,simulation_df,2035,40,NA,0.00280155,0.0025960175,0.0030070825
8,simulation_df,2035,50,NA,0.003391945,0.00311452125,0.00366936874999999
8,simulation_df,2035,60,NA,0.004068395,0.00371013575,0.00442665425
8,simulation_df,2035,70,NA,0.004819905,0.00437508175,0.00526472825
8,simulation_df,2035,80,NA,0.005627425,0.00509476474999999,0.00616008525
8,simulation_df,2035,90,NA,0.006461005,0.00584590375,0.00707610625
8,simulation_df,2035,100,NA,0.007299155,0.00661558724999999,0.00798272275
8,simulation_df,2040,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2040,10,NA,0.001501085,0.00144878275,0.00155338725
8,simulation_df,2040,20,NA,0.00184675,0.0017561105,0.0019373895
8,simulation_df,2040,30,NA,0.00226223,0.00212238999999999,0.00240207
8,simulation_df,2040,40,NA,0.002755065,0.00255476225,0.00295536775
8,simulation_df,2040,50,NA,0.00332921,0.003057681,0.003600739
8,simulation_df,2040,60,NA,0.00398953,0.00363678549999999,0.0043422745
8,simulation_df,2040,70,NA,0.0047269,0.0042858055,0.0051679945
8,simulation_df,2040,80,NA,0.00552398999999999,0.0049918094999999996,0.00605617049999999
8,simulation_df,2040,90,NA,0.00635191,0.0057329565,0.0069708635
8,simulation_df,2040,100,NA,0.00718909999999999,0.006496854,0.007881346
8,simulation_df,2045,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2045,10,NA,0.0014914,0.0014404515,0.0015423485
8,simulation_df,2045,20,NA,0.00182457,0.0017369705,0.0019121695
8,simulation_df,2045,30,NA,0.002224415,0.00208951024999999,0.00235931975
8,simulation_df,2045,40,NA,0.00269867,0.0025051455,0.0028921945
8,simulation_df,2045,50,NA,0.003252115,0.00298870374999999,0.00351552625
8,simulation_df,2045,60,NA,0.003890925,0.00354658325,0.00423526675
8,simulation_df,2045,70,NA,0.00460812,0.0041741125,0.0050421275
8,simulation_df,2045,80,NA,0.00538863499999999,0.00486036375,0.00591690624999999
8,simulation_df,2045,90,NA,0.00620531499999999,0.00558536875,0.00682526125
8,simulation_df,2045,100,NA,0.007037045,0.00633773574999999,0.00773635425
8,simulation_df,2050,0,NA,0.00121357,0.0011899435,0.00123719649999999
8,simulation_df,2050,10,NA,0.001480055,0.00143066925,0.00152944074999999
8,simulation_df,2050,20,NA,0.001798555,0.00171451324999999,0.00188259675
8,simulation_df,2050,30,NA,0.0021799,0.0020509185,0.0023088815
8,simulation_df,2050,40,NA,0.002631785,0.00244666325,0.00281690674999999
8,simulation_df,2050,50,NA,0.003159635,0.00290678775,0.00341248225
8,simulation_df,2050,60,NA,0.00377077499999999,0.00343824174999999,0.00410330825
8,simulation_df,2050,70,NA,0.004460505,0.00403794974999999,0.00488306025
8,simulation_df,2050,80,NA,0.00521644,0.0046970845,0.0057357955
8,simulation_df,2050,90,NA,0.00601392,0.005398035,0.006629805
8,simulation_df,2050,100,NA,0.006832975,0.00613081575,0.00753513425
10,simulation_df,2025,0,NA,0.00159787999999999,0.00155052249999999,0.0016452375
10,simulation_df,2025,10,NA,0.001984825,0.00189923475,0.00207041525
10,simulation_df,2025,20,NA,0.00244614,0.002312456,0.00257982399999999
10,simulation_df,2025,30,NA,0.0029918,0.0028004985,0.0031831015
10,simulation_df,2025,40,NA,0.0036235,0.00336691449999999,0.0038800855
10,simulation_df,2025,50,NA,0.004336325,0.00400957725,0.00466307275
10,simulation_df,2025,60,NA,0.00512603,0.004726631,0.00552542899999999
10,simulation_df,2025,70,NA,0.00597337,0.0055018375,0.00644490249999999
10,simulation_df,2025,80,NA,0.006854525,0.00631411275,0.00739493725
10,simulation_df,2025,90,NA,0.0077391100000000004,0.007137,0.00834122
10,simulation_df,2025,100,NA,0.008610005,0.00795947825,0.00926053175
10,simulation_df,2030,0,NA,0.00159787999999999,0.00155052249999999,0.0016452375
10,simulation_df,2030,10,NA,0.00198013,0.0018950005,0.0020652595
10,simulation_df,2030,20,NA,0.00243583,0.0023030295,0.0025686305
10,simulation_df,2030,30,NA,0.00297527,0.0027850895,0.0031654505
10,simulation_df,2030,40,NA,0.00360072,0.003345132,0.00385630799999999
10,simulation_df,2030,50,NA,0.004308065,0.00398171625,0.00463441374999999
10,simulation_df,2030,60,NA,0.005093785,0.00469368775,0.00549388225
10,simulation_df,2030,70,NA,0.00593916,0.00546549,0.00641283
10,simulation_df,2030,80,NA,0.00682048,0.00627641499999999,0.007364545
10,simulation_df,2030,90,NA,0.00770701,0.00709994099999999,0.008314079
10,simulation_df,2030,100,NA,0.0085810150000000009,0.00792462675,0.00923740324999999
10,simulation_df,2035,0,NA,0.00159787999999999,0.00155052249999999,0.0016452375
10,simulation_df,2035,10,NA,0.00197281,0.001888507,0.002057113
10,simulation_df,2035,20,NA,0.002419685,0.00228852325,0.00255084675
10,simulation_df,2035,30,NA,0.00294914,0.002761173,0.003137107
