cumulative_years,scenario,indicator,pitc_reduction_year,test_reduction,discount,cumulative_mean,year,percentage_change_baseline
5,Total,Testing,2025,50,undiscounted,-145745891.84874088,2029,-1.7772367152290933
10,Total,Testing,2025,50,undiscounted,-326921497.42753434,2034,-1.9709464277012274
25,Total,Testing,2025,50,undiscounted,-939847423.0523766,2049,-2.30896323723566
50,Total,Testing,2025,50,undiscounted,-2096674490.4775481,2074,-3.04784533656686
5,Total,Testing,2025,75,3%,-188713785.16848516,2029,-2.4445985108742114
10,Total,Testing,2025,75,3%,-387030058.9751824,2034,-2.6689360537378004
25,Total,Testing,2025,75,3%,-881459530.4370707,2049,-3.0329522236497075
50,Total,Testing,2025,75,3%,-1396633958.3369343,2074,-3.601308959047516
5,Total,Testing,2025,75,6%,-176087063.38540107,2029,-2.423085306057474
10,Total,Testing,2025,75,6%,-335572955.6829774,2034,-2.637073080240086
25,Total,Testing,2025,75,6%,-631635817.1023431,2049,-2.933309596519238
50,Total,Testing,2025,75,6%,-803974586.6164156,2074,-3.2244043195989147
5,Total,Testing,2025,75,undiscounted,-202143340.95094126,2029,-2.4649515860792284
10,Total,Testing,2025,75,undiscounted,-447574420.49106306,2034,-2.698339546767935
25,Total,Testing,2025,75,undiscounted,-1274760485.482396,2049,-3.13175843766239
50,Total,Testing,2025,75,undiscounted,-2836644348.2759657,2074,-4.1235076248876705
5,Total,Testing,2025,100,3%,-231674487.34038028,2029,-3.0011114781794945
10,Total,Testing,2025,100,3%,-468464338.71751416,2034,-3.230501958437765
25,Total,Testing,2025,100,3%,-1055231023.2986078,2049,-3.6308703554327924
50,Total,Testing,2025,100,3%,-1664848307.2874215,2074,-4.292916614764748
5,Total,Testing,2025,100,6%,-216449335.30488876,2029,-2.978499350263263
10,Total,Testing,2025,100,6%,-406888403.4349292,2034,-3.1974997901016775
25,Total,Testing,2025,100,6%,-758319421.6534619,2049,-3.5216268244056907
50,Total,Testing,2025,100,6%,-962261650.0921036,2074,-3.8592272352778956
5,Total,Testing,2025,100,undiscounted,-247862136.05368194,2029,-3.022450121385826
10,Total,Testing,2025,100,undiscounted,-540888126.3582411,2034,-3.2609098172508197
25,Total,Testing,2025,100,undiscounted,-1522349511.0200207,2049,-3.7400209533510855
50,Total,Testing,2025,100,undiscounted,-3370480240.3669252,2074,-4.899521851984436
5,Total,Treatment,2025,25,3%,-23636406.025396403,2029,-0.3061860209126455
10,Total,Treatment,2025,25,3%,-61407869.70632631,2034,-0.4234649832532954
25,Total,Treatment,2025,25,3%,-77799481.18395126,2049,-0.2676947736201309
50,Total,Treatment,2025,25,3%,87643694.14356977,2074,0.22599480632642094
5,Total,Treatment,2025,25,6%,-21689310.416106936,2029,-0.29846059305765693
10,Total,Treatment,2025,25,6%,-52118043.71034959,2034,-0.40956545435437464
25,Total,Treatment,2025,25,6%,-65643432.948973276,2049,-0.3048473607798771
50,Total,Treatment,2025,25,6%,-14173807.804442614,2074,-0.05684518872934787
5,Total,Treatment,2025,25,undiscounted,-25722097.373040613,2029,-0.31365725142708734
10,Total,Treatment,2025,25,undiscounted,-72386669.63813695,2034,-0.43640521978246266
25,Total,Treatment,2025,25,undiscounted,-89540081.29030284,2049,-0.21997693549762504
50,Total,Treatment,2025,25,undiscounted,447275104.2437082,2074,0.650184540720552
5,Total,Treatment,2025,50,3%,-47435947.73155098,2029,-0.6144853015529566
10,Total,Treatment,2025,50,3%,-129816196.05913962,2034,-0.8952046953116619
25,Total,Treatment,2025,50,3%,-182907826.67594165,2049,-0.6293547014741108
50,Total,Treatment,2025,50,3%,174412488.8061134,2074,0.44973362902844444
5,Total,Treatment,2025,50,6%,-43512284.50748271,2029,-0.5987604949280725
10,Total,Treatment,2025,50,6%,-109794839.76616544,2034,-0.8628139168943048
25,Total,Treatment,2025,50,6%,-149455350.8875163,2049,-0.6940689605296217
50,Total,Treatment,2025,50,6%,-39176610.97704727,2074,-0.15712092865182395
5,Total,Treatment,2025,50,undiscounted,-51640384.5985243,2029,-0.6297068571393923
10,Total,Treatment,2025,50,undiscounted,-153540446.86925972,2034,-0.9256656342451035
25,Total,Treatment,2025,50,undiscounted,-220538318.71613833,2049,-0.5418058908578254
50,Total,Treatment,2025,50,undiscounted,947140415.8708372,2074,1.3768171991869043
5,Total,Treatment,2025,75,3%,-71127913.89359455,2029,-0.9213910485163003
10,Total,Treatment,2025,75,3%,-205005265.3343998,2034,-1.4137040035232724
25,Total,Treatment,2025,75,3%,-324896834.1310062,2049,-1.1179147102145206
50,Total,Treatment,2025,75,3%,242473839.05705133,2074,0.6252341236000089
5,Total,Treatment,2025,75,6%,-65226544.12081936,2029,-0.8975644069782946
10,Total,Treatment,2025,75,6%,-172805510.7868158,2034,-1.3579782068122308
25,Total,Treatment,2025,75,6%,-256870189.60799685,2049,-1.1929022576545374
50,Total,Treatment,2025,75,6%,-83459640.87789041,2074,-0.33472155841567414
5,Total,Treatment,2025,75,undiscounted,-77453472.89330438,2029,-0.9444736589271563
10,Total,Treatment,2025,75,undiscounted,-243258373.950265,2034,-1.4665576504401003
25,Total,Treatment,2025,75,undiscounted,-409708144.3957873,2049,-1.006547467389494
50,Total,Treatment,2025,75,undiscounted,1460231040.7489254,2074,2.122674925492657
5,Total,Treatment,2025,100,3%,-94169882.59537064,2029,-1.2198767279047011
10,Total,Treatment,2025,100,3%,-284466256.4547602,2034,-1.9616622283402965
25,Total,Treatment,2025,100,3%,-507361499.52078456,2049,-1.7457445691270699
50,Total,Treatment,2025,100,3%,265654200.87595782,2074,0.6850061520503236
5,Total,Treatment,2025,100,6%,-86343484.73897448,2029,-1.188148777783255
10,Total,Treatment,2025,100,6%,-239076079.04443175,2034,-1.8787601369552303
25,Total,Treatment,2025,100,6%,-389031225.948096,2049,-1.806656616868665
50,Total,Treatment,2025,100,6%,-155413244.69417903,2074,-0.623297235829024
5,Total,Treatment,2025,100,undiscounted,-102560693.25827983,2029,-1.2506330524028322
10,Total,Treatment,2025,100,undiscounted,-338512541.2978545,2034,-2.0408265875845633
25,Total,Treatment,2025,100,undiscounted,-665425118.514736,2049,-1.6347782609157437
50,Total,Treatment,2025,100,undiscounted,1906902999.0214844,2074,2.7719826989115677
5,Total,Inpatient,2025,25,3%,1369590.257659809,2029,0.017741673197820648
10,Total,Inpatient,2025,25,3%,11988898.568160221,2034,0.08267472484668198
25,Total,Inpatient,2025,25,3%,69102863.51117568,2049,0.2377711923346721
50,Total,Inpatient,2025,25,3%,168401761.98557064,2074,0.4342345899137262
5,Total,Inpatient,2025,25,6%,1219444.3980181508,2029,0.016780436595303337
10,Total,Inpatient,2025,25,6%,9664674.810033394,2034,0.07594906961123264
25,Total,Inpatient,2025,25,6%,42989953.4279779,2049,0.19964485789090458
50,Total,Inpatient,2025,25,6%,75370438.98342723,2074,0.30227916786650716
5,Total,Inpatient,2025,25,undiscounted,1532958.888448952,2029,0.018693019644874433
10,Total,Inpatient,2025,25,undiscounted,14816479.057175558,2034,0.08932568429619181
25,Total,Inpatient,2025,25,undiscounted,112756480.61583892,2049,0.27701365361677255
50,Total,Inpatient,2025,25,undiscounted,421389352.48608536,2074,0.6125555391104697
5,Total,Inpatient,2025,50,3%,2746768.1108953655,2029,0.03558163611427011
10,Total,Inpatient,2025,50,3%,25005933.330398917,2034,0.17243941516993372
25,Total,Inpatient,2025,50,3%,152623669.12489733,2049,0.5251520695730704
50,Total,Inpatient,2025,50,3%,383399131.5566467,2074,0.988618899836953
5,Total,Inpatient,2025,50,6%,2445986.961907159,2029,0.03365854908508161
10,Total,Inpatient,2025,50,6%,20132510.482846837,2034,0.15820971425993816
25,Total,Inpatient,2025,50,6%,94464431.61709829,2049,0.43869175288910617
50,Total,Inpatient,2025,50,6%,169504664.51613113,2074,0.6798120009715474
5,Total,Inpatient,2025,50,undiscounted,3074006.8678159304,2029,0.03748467829212474
10,Total,Inpatient,2025,50,undiscounted,30940999.113066345,2034,0.1865372945837632
25,Total,Inpatient,2025,50,undiscounted,250142013.01122603,2049,0.6145345488688516
50,Total,Inpatient,2025,50,undiscounted,969443103.7173605,2074,1.4092376552255763
5,Total,Inpatient,2025,75,3%,4111062.0749336407,2029,0.053254701120649964
10,Total,Inpatient,2025,75,3%,38865972.31821341,2034,0.2680174120282131
25,Total,Inpatient,2025,75,3%,253321445.4633415,2049,0.8716359796294143
50,Total,Inpatient,2025,75,3%,658100263.8234046,2074,1.696953136440206
5,Total,Inpatient,2025,75,6%,3661485.359192473,2029,0.050384685857276984
10,Total,Inpatient,2025,75,6%,31251876.13302678,2034,0.2455903548296075
25,Total,Inpatient,2025,75,6%,155890635.42808324,2049,0.7239543492109897
50,Total,Inpatient,2025,75,6%,287148274.72054285,2074,1.1516310997726125
5,Total,Inpatient,2025,75,undiscounted,4600125.325747691,2029,0.05609428519644836
10,Total,Inpatient,2025,75,undiscounted,48148431.368799746,2034,0.290277572911181
25,Total,Inpatient,2025,75,undiscounted,417251817.62844485,2049,1.025080331065766
50,Total,Inpatient,2025,75,undiscounted,1682332882.6786015,2074,2.4455348001382884
5,Total,Inpatient,2025,100,3%,5441690.3874844015,2029,0.07049166125307742
10,Total,Inpatient,2025,100,3%,53077409.29597767,2034,0.3660186283311818
25,Total,Inpatient,2025,100,3%,370104049.74056256,2049,1.2734650450552243
50,Total,Inpatient,2025,100,3%,993486173.3009772,2074,2.5617669076720926
5,Total,Inpatient,2025,100,6%,4847508.491608438,2029,0.06670522167376358
10,Total,Inpatient,2025,100,6%,42632352.5966342,2034,0.3350229137240054
25,Total,Inpatient,2025,100,6%,226440576.87076116,2049,1.0515874799872744
50,Total,Inpatient,2025,100,6%,428131441.33260596,2074,1.7170553544469183
5,Total,Inpatient,2025,100,undiscounted,6087964.615766096,2029,0.07423711295673517
10,Total,Inpatient,2025,100,undiscounted,65822845.049734876,2034,0.39683319186026655
25,Total,Inpatient,2025,100,undiscounted,612680638.4041269,2049,1.5051986477196164
50,Total,Inpatient,2025,100,undiscounted,2565266454.0404687,2074,3.72901727688682
