year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI,future_variability,future_value
1985,intervention,Number1stHIVtestsPos,2025,25,9.675871,12.265445,6.3205877500000005,condom_reduction,28
1985,intervention,Number1stHIVtestsPos,2025,50,9.675871,12.265445,6.3205877500000005,condom_reduction,28
1985,intervention,Number1stHIVtestsPos,2025,75,9.675871,12.265445,6.3205877500000005,condom_reduction,28
1985,intervention,Number1stHIVtestsPos,2025,100,9.675871,12.265445,6.3205877500000005,condom_reduction,28
1985,intervention,NumberHIVtestsPos,2025,0,0,0,0,condom_reduction,28
1985,intervention,NumberHIVtestsPos,2025,25,0,0,0,condom_reduction,28
1985,intervention,NumberHIVtestsPos,2025,50,0,0,0,condom_reduction,28
1985,intervention,NumberHIVtestsPos,2025,75,0,0,0,condom_reduction,28
1985,intervention,NumberHIVtestsPos,2025,100,0,0,0,condom_reduction,28
1985,intervention,Prev15to49,2025,0,1.817201e-4,2.3157095e-4,1.1821202500000001e-4,condom_reduction,28
1985,intervention,Prev15to49,2025,25,1.817201e-4,2.3157095e-4,1.1821202500000001e-4,condom_reduction,28
1985,intervention,Prev15to49,2025,50,1.817201e-4,2.3157095e-4,1.1821202500000001e-4,condom_reduction,28
1985,intervention,Prev15to49,2025,75,1.817201e-4,2.3157095e-4,1.1821202500000001e-4,condom_reduction,28
1985,intervention,Prev15to49,2025,100,1.817201e-4,2.3157095e-4,1.1821202500000001e-4,condom_reduction,28
1985,intervention,RediagnosesPregnancy,2025,0,0,0,0,condom_reduction,28
1985,intervention,RediagnosesPregnancy,2025,25,0,0,0,condom_reduction,28
1985,intervention,RediagnosesPregnancy,2025,50,0,0,0,condom_reduction,28
1985,intervention,RediagnosesPregnancy,2025,75,0,0,0,condom_reduction,28
1985,intervention,RediagnosesPregnancy,2025,100,0,0,0,condom_reduction,28
1985,intervention,SWsexActs,2025,0,40858100,40858100,40858100,condom_reduction,28
1985,intervention,SWsexActs,2025,25,40858100,40858100,40858100,condom_reduction,28
1985,intervention,SWsexActs,2025,50,40858100,40858100,40858100,condom_reduction,28
1985,intervention,SWsexActs,2025,75,40858100,40858100,40858100,condom_reduction,28
1985,intervention,SWsexActs,2025,100,40858100,40858100,40858100,condom_reduction,28
1985,intervention,SWsexActsProt,2025,0,6158057,6653548,5846698,condom_reduction,28
1985,intervention,SWsexActsProt,2025,25,6158057,6653548,5846698,condom_reduction,28
1985,intervention,SWsexActsProt,2025,50,6158057,6653548,5846698,condom_reduction,28
1985,intervention,SWsexActsProt,2025,75,6158057,6653548,5846698,condom_reduction,28
1985,intervention,SWsexActsProt,2025,100,6158057,6653548,5846698,condom_reduction,28
1985,intervention,TestsPerAdult,2025,0,5.350002534973675e-7,6.774196067666898e-7,3.5071570756748534e-7,condom_reduction,28
1985,intervention,TestsPerAdult,2025,25,5.350002534973675e-7,6.774196067666898e-7,3.5071570756748534e-7,condom_reduction,28
1985,intervention,TestsPerAdult,2025,50,5.350002534973675e-7,6.774196067666898e-7,3.5071570756748534e-7,condom_reduction,28
1985,intervention,TestsPerAdult,2025,75,5.350002534973675e-7,6.774196067666898e-7,3.5071570756748534e-7,condom_reduction,28
1985,intervention,TestsPerAdult,2025,100,5.350002534973675e-7,6.774196067666898e-7,3.5071570756748534e-7,condom_reduction,28
1985,intervention,TotalAIDSdeathsadult,2025,0,2.2530098,2.74571225,1.4642332999999998,condom_reduction,28
1985,intervention,TotalAIDSdeathsadult,2025,25,2.2530098,2.74571225,1.4642332999999998,condom_reduction,28
1985,intervention,TotalAIDSdeathsadult,2025,50,2.2530098,2.74571225,1.4642332999999998,condom_reduction,28
1985,intervention,TotalAIDSdeathsadult,2025,75,2.2530098,2.74571225,1.4642332999999998,condom_reduction,28
