year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2026,baseline,SWsexActsProt,2050,10,99802600,100106030,99499170
2026,baseline,TotalAIDSdeathsadult,2050,10,44025,44145.745,43904.255
2026,baseline,TotalHIVtests,2050,10,18250450,19945297.5,16555602.5
2026,baseline,TotProtSexActs,2050,10,190612000,194286600,186937400
2026,baseline,TotSexActs,2050,10,593506500,602428425,584584575
2026,intervention,AIDSdeathsAdultF,2050,10,20927.25,21213.0575,20641.4425
2026,intervention,AIDSdeathsAdultM,2050,10,23097.75,23504.3025,22691.1975
2026,intervention,ARTcoverageAdult,2050,10,0.747222,0.7498791499999999,0.7445648500000001
2026,intervention,CondomUsage,2050,10,32.11397312518929,32.25035164897133,31.97759460140725
2026,intervention,FSWCondomUsage,2050,10,80.88024275608012,81.19775034563813,80.5627351665221
2026,intervention,HIVinc15to49,2050,10,0.004618499999999999,0.0046418605,0.0045951394999999996
2026,intervention,NewAdultHIV,2050,10,152841,154264.1,151417.9
2026,intervention,SWsexActs,2050,10,123396000,123505250,123286750
2026,intervention,SWsexActsProt,2050,10,99802600,100106030,99499170
2026,intervention,TotalAIDSdeathsadult,2050,10,44025,44145.745,43904.255
2026,intervention,TotalHIVtests,2050,10,18250450,19945297.5,16555602.5
2026,intervention,TotProtSexActs,2050,10,190612000,194286600,186937400
2026,intervention,TotSexActs,2050,10,593506500,602428425,584584575
2027,baseline,AIDSdeathsAdultF,2050,10,20973.35,21270.0825,20676.6175
2027,baseline,AIDSdeathsAdultM,2050,10,22746.9,23132.22,22361.579999999998
2027,baseline,ARTcoverageAdult,2050,10,0.7507775,0.7532261250000001,0.7483288749999999
2027,baseline,CondomUsage,2050,10,32.23931786864226,32.37462591698259,32.10400982030193
2027,baseline,FSWCondomUsage,2050,10,80.88056268500063,81.1981687381113,80.56295663188993
2027,baseline,HIVinc15to49,2050,10,0.004397485,0.00442497325,0.00436999675
2027,baseline,NewAdultHIV,2050,10,148806,150327.9,147284.1
2027,baseline,SWsexActs,2050,10,125750000,125837400,125662600
2027,baseline,SWsexActsProt,2050,10,101707000,102035700,101378300
2027,baseline,TotalAIDSdeathsadult,2050,10,43720.25,43808.8375,43631.6625
2027,baseline,TotalHIVtests,2050,10,18581650,20310887.5,16852412.5
2027,baseline,TotProtSexActs,2050,10,193509500,197252025,189766975
2027,baseline,TotSexActs,2050,10,600186000,609275600,591096400
2027,intervention,AIDSdeathsAdultF,2050,10,20973.35,21270.0825,20676.6175
2027,intervention,AIDSdeathsAdultM,2050,10,22746.9,23132.22,22361.579999999998
2027,intervention,ARTcoverageAdult,2050,10,0.7507775,0.7532261250000001,0.7483288749999999
2027,intervention,CondomUsage,2050,10,32.23931786864226,32.37462591698259,32.10400982030193
2027,intervention,FSWCondomUsage,2050,10,80.88056268500063,81.1981687381113,80.56295663188993
2027,intervention,HIVinc15to49,2050,10,0.004397485,0.00442497325,0.00436999675
