year,scenario,indicator,pitc_reduction_year,test_reduction,mean,upper_CI,lower_CI
2026,baseline,SWsexActs,2025,0,123109400,123584375,122358350
2026,baseline,SWsexActsProt,2025,0,101033190,103851075,99559812.5
2026,baseline,TotalAIDSdeathsadult,2025,0,44565.14,47272.049999999996,42472.17
2026,baseline,TotalART15,2025,0,6025296,6159492.25,5897370.25
2026,baseline,TotalART15F,2025,0,4181496,4260434.5,4101550.5
2026,baseline,TotalART15M,2025,0,1843800,1901539.5,1795819.75
2026,baseline,TotalHIVtests,2025,0,18177390,23579970,14567075
2026,baseline,TotProtSexActs,2025,0,195957400,206692450,187730400
2026,baseline,TotSexActs,2025,0,590290600,601423575,583550025
2026,intervention,AdultARTinterrupters,2025,0,1414538,1444653,1388486
2026,intervention,AdultInterruptPropn,2025,0,0.174986,0.17649559999999997,0.17328462499999997
2026,intervention,AIDSdeathsAdultF,2025,0,21005.61,21977.090000000004,20326.3675
2026,intervention,AIDSdeathsAdultM,2025,0,23564.86,25305.48,22021.949999999997
2026,intervention,art_interrupt_rate,2025,0,0.23650913342859334,0.2373761060313321,0.23501184132327457
2026,intervention,ARTcoverageAdult,2025,0,0.7398746,0.74646325,0.7307083
2026,intervention,CondomUsage,2025,0,33.19320288525962,35.19109194104999,32.02974671968423
2026,intervention,FSWCondomUsage,2025,0,82.0680545811055,84.13690068084298,80.69657502746551
2026,intervention,HIVinc15to49,2025,0,0.004855374,0.00516101125,0.00460742075
2026,intervention,NewAdultHIV,2025,0,160408.2,169744.15,152073.75
2026,intervention,SWsexActs,2025,0,123044700,123521700,122292800
2026,intervention,SWsexActsProt,2025,0,100980030,103795850,99508287.5
2026,intervention,TotalAIDSdeathsadult,2025,0,44570.47,47277.4625,42476.950000000004
2026,intervention,TotalART15,2025,0,5981014,6114275.5,5853925.25
2026,intervention,TotalART15F,2025,0,4155824,4234308.5,4076312
2026,intervention,TotalART15M,2025,0,1825190,1882453.25,1777613.25
2026,intervention,TotalHIVtests,2025,0,18176840,23579215,14566652.5
2026,intervention,TotProtSexActs,2025,0,195905600,206639000,187680175
2026,intervention,TotSexActs,2025,0,590229800,601362900,583488475
2027,baseline,AdultARTinterrupters,2025,0,1390842,1422661.25,1362605.25
2027,baseline,AdultInterruptPropn,2025,0,0.1707171,0.17244915,0.1691248
2027,baseline,AIDSdeathsAdultF,2025,0,21000.02,21994.9625,20328.33
2027,baseline,AIDSdeathsAdultM,2025,0,23173.36,24862.3825,21630.6925
2027,baseline,art_interrupt_rate,2025,0,0.22780025952761065,0.22864792472864154,0.2263898474967093
2027,baseline,ARTcoverageAdult,2025,0,0.7494193,0.7565454250000001,0.7403986
2027,baseline,CondomUsage,2025,0,33.32750040796731,35.33079089588602,32.16098163012944
2027,baseline,FSWCondomUsage,2025,0,82.06798880739986,84.13676282355001,80.69668549635759
2027,baseline,HIVinc15to49,2025,0,0.004483659,0.00478180475,0.00424115125
2027,baseline,NewAdultHIV,2025,0,151297.1,160536.7,143020.45
2027,baseline,SWsexActs,2025,0,125470600,125912000,124730475
2027,baseline,SWsexActsProt,2025,0,102971000,105842900,101444250
2027,baseline,TotalAIDSdeathsadult,2025,0,44173.380000000005,46849.1775,42017.32
2027,baseline,TotalART15,2025,0,6105607,6245129.75,5970046.25
2027,baseline,TotalART15F,2025,0,4244342,4326840.5,4159767
2027,baseline,TotalART15M,2025,0,1861265,1920705.75,1810279.25
2027,baseline,TotalHIVtests,2025,0,18508510,24028512.5,14824352.5
2027,baseline,TotProtSexActs,2025,0,198933200,209811375,190573725
2027,baseline,TotSexActs,2025,0,596936100,608274175,590091000
2027,intervention,AdultARTinterrupters,2025,0,1481999,1515911,1451867
2027,intervention,AdultInterruptPropn,2025,0,0.1817426,0.18358475000000002,0.18004177500000001
2027,intervention,AIDSdeathsAdultF,2025,0,21015.55,22010.7775,20342.195
2027,intervention,AIDSdeathsAdultM,2025,0,23183.65,24872.7025,21639.6625
2027,intervention,art_interrupt_rate,2025,0,0.2463854259485388,0.2473069585203376,0.24485613157912994
2027,intervention,ARTcoverageAdult,2025,0,0.7376386,0.7446459,0.72872455
2027,intervention,CondomUsage,2025,0,33.31719563004602,35.320380936937426,32.150829725711944
2027,intervention,FSWCondomUsage,2025,0,82.0681654697874,84.13707929899883,80.69655726747044
2027,intervention,HIVinc15to49,2025,0,0.004701072,0.0050059375,0.0044528545
2027,intervention,NewAdultHIV,2025,0,158836.2,168300.025,150335.975
2027,intervention,SWsexActs,2025,0,125344600,125790100,124600600
2027,intervention,SWsexActsProt,2025,0,102867800,105737000,101343800
2027,intervention,TotalAIDSdeathsadult,2025,0,44199.200000000004,46875.717500000006,42039.9525
2027,intervention,TotalART15,2025,0,6015036,6152622.75,5881331.5
2027,intervention,TotalART15F,2025,0,4191755,4273346,4108125.5
2027,intervention,TotalART15M,2025,0,1823281,1881619,1773206
2027,intervention,TotalHIVtests,2025,0,18506740,24025915,14823062.5
2027,intervention,TotProtSexActs,2025,0,198832200,209707475,190475275
