indicator,intervention_year,parameter_set,scenario,value
VLsuppressed,2030,2,percent_change,-0.022308675338837403
LYlostAIDS,2035,1,baseline,21856770
LYlostAIDS,2035,1,intervention,23159150
LYlostAIDS,2035,1,percent_change,5.958702955651727
LYlostAIDS,2035,2,baseline,21670058
LYlostAIDS,2035,2,intervention,22770313
LYlostAIDS,2035,2,percent_change,5.077305284554384
NewAdultHIV,2035,1,baseline,1724880.1
NewAdultHIV,2035,1,intervention,1834939.9
NewAdultHIV,2035,1,percent_change,6.3807217672694945
NewAdultHIV,2035,2,baseline,1629118.9
NewAdultHIV,2035,2,intervention,1725256.7
NewAdultHIV,2035,2,percent_change,5.901214454021745
NewDiagnosesPregnancy,2035,1,baseline,112092.71
NewDiagnosesPregnancy,2035,1,intervention,146131.48
NewDiagnosesPregnancy,2035,1,percent_change,30.366622414606624
NewDiagnosesPregnancy,2035,2,baseline,108048.29
NewDiagnosesPregnancy,2035,2,intervention,139816.88999999998
NewDiagnosesPregnancy,2035,2,percent_change,29.402223764948054
Number1stHIVtestsPos,2035,1,baseline,1772310
Number1stHIVtestsPos,2035,1,intervention,1807419.5
Number1stHIVtestsPos,2035,1,percent_change,1.9810021948756145
Number1stHIVtestsPos,2035,2,baseline,1688104.6
Number1stHIVtestsPos,2035,2,intervention,1712895.3
Number1stHIVtestsPos,2035,2,percent_change,1.468552363402123
RediagnosesPregnancy,2035,1,baseline,339018.52999999997
RediagnosesPregnancy,2035,1,intervention,347076.41
RediagnosesPregnancy,2035,1,percent_change,2.3768258330894203
RediagnosesPregnancy,2035,2,baseline,308066.34
RediagnosesPregnancy,2035,2,intervention,313438.4
RediagnosesPregnancy,2035,2,percent_change,1.7437997283312408
StartingARTtot,2035,1,baseline,1825440.5
StartingARTtot,2035,1,intervention,1841889.5
StartingARTtot,2035,1,percent_change,0.9010975706959499
StartingARTtot,2035,2,baseline,1761740.7
StartingARTtot,2035,2,intervention,1770976.1
StartingARTtot,2035,2,percent_change,0.524220164749565
TotalAIDSdeathsadult,2035,1,baseline,829044.7
TotalAIDSdeathsadult,2035,1,intervention,866071.1
TotalAIDSdeathsadult,2035,1,percent_change,4.466152428210448
TotalAIDSdeathsadult,2035,2,baseline,818397.6
TotalAIDSdeathsadult,2035,2,intervention,848538.9
TotalAIDSdeathsadult,2035,2,percent_change,3.6829653459394365
TotalHIVtests,2035,1,baseline,531821200
TotalHIVtests,2035,1,intervention,384506500
TotalHIVtests,2035,1,percent_change,-27.70004279633832
TotalHIVtests,2035,2,baseline,434242500
TotalHIVtests,2035,2,intervention,318023600
TotalHIVtests,2035,2,percent_change,-26.763594074739345
TotANCtests,2035,1,baseline,41445840
TotANCtests,2035,1,intervention,41423990
TotANCtests,2035,1,percent_change,-0.05271940440825907
TotANCtests,2035,2,baseline,41659110
TotANCtests,2035,2,intervention,41639850
TotANCtests,2035,2,percent_change,-0.04623238470529015
TotHIV15,2035,1,baseline,158829840
TotHIV15,2035,1,intervention,159393430
TotHIV15,2035,1,percent_change,0.35483886403209874
TotHIV15,2035,2,baseline,159177590
TotHIV15,2035,2,intervention,159686430
TotHIV15,2035,2,percent_change,0.31966811408565743
VLsuppressed,2035,1,baseline,19.436084
VLsuppressed,2035,1,intervention,19.432163
VLsuppressed,2035,1,percent_change,-0.020173816906748496
VLsuppressed,2035,2,baseline,19.471432
VLsuppressed,2035,2,intervention,19.467761
VLsuppressed,2035,2,percent_change,-0.01885326153721332
LYlostAIDS,2040,1,baseline,18597909
LYlostAIDS,2040,1,intervention,19671104
LYlostAIDS,2040,1,percent_change,5.770514308893543
LYlostAIDS,2040,2,baseline,18323766
LYlostAIDS,2040,2,intervention,19215814
LYlostAIDS,2040,2,percent_change,4.868256885620565
NewAdultHIV,2040,1,baseline,1435770.6
NewAdultHIV,2040,1,intervention,1528285.3
NewAdultHIV,2040,1,percent_change,6.4435572089301685
NewAdultHIV,2040,2,baseline,1344192.8
NewAdultHIV,2040,2,intervention,1424495.2
NewAdultHIV,2040,2,percent_change,5.974023964419382
NewDiagnosesPregnancy,2040,1,baseline,81932.82
NewDiagnosesPregnancy,2040,1,intervention,107066.46
NewDiagnosesPregnancy,2040,1,percent_change,30.675912290093272
NewDiagnosesPregnancy,2040,2,baseline,78450.41
NewDiagnosesPregnancy,2040,2,intervention,101701.46
NewDiagnosesPregnancy,2040,2,percent_change,29.637894817885595
Number1stHIVtestsPos,2040,1,baseline,1466207.2
Number1stHIVtestsPos,2040,1,intervention,1495138.2
Number1stHIVtestsPos,2040,1,percent_change,1.9731863272803463
Number1stHIVtestsPos,2040,2,baseline,1385228.5
Number1stHIVtestsPos,2040,2,intervention,1405488.8
Number1stHIVtestsPos,2040,2,percent_change,1.462596243146892
RediagnosesPregnancy,2040,1,baseline,243960.43
RediagnosesPregnancy,2040,1,intervention,249864.64
RediagnosesPregnancy,2040,1,percent_change,2.4201506777144233
RediagnosesPregnancy,2040,2,baseline,220356.7
RediagnosesPregnancy,2040,2,intervention,224321.43
RediagnosesPregnancy,2040,2,percent_change,1.7992327893819344
StartingARTtot,2040,1,baseline,1499836.4
StartingARTtot,2040,1,intervention,1512796.7
StartingARTtot,2040,1,percent_change,0.8641142460604401
StartingARTtot,2040,2,baseline,1435225.2
StartingARTtot,2040,2,intervention,1442369
StartingARTtot,2040,2,percent_change,0.4977476705397903
TotalAIDSdeathsadult,2040,1,baseline,771375.7
TotalAIDSdeathsadult,2040,1,intervention,803351
TotalAIDSdeathsadult,2040,1,percent_change,4.145230398105625
TotalAIDSdeathsadult,2040,2,baseline,758010.3
TotalAIDSdeathsadult,2040,2,intervention,783564.4
TotalAIDSdeathsadult,2040,2,percent_change,3.3712074888692114
TotalHIVtests,2040,1,baseline,551734000
TotalHIVtests,2040,1,intervention,399250000
TotalHIVtests,2040,1,percent_change,-27.637230984496153
TotalHIVtests,2040,2,baseline,449929800
TotalHIVtests,2040,2,intervention,329693900
TotalHIVtests,2040,2,percent_change,-26.723257717092757
TotANCtests,2040,1,baseline,41600960
TotANCtests,2040,1,intervention,41584160
TotANCtests,2040,1,percent_change,-0.04038368345345877
TotANCtests,2040,2,baseline,41760820
TotANCtests,2040,2,intervention,41745900
TotANCtests,2040,2,percent_change,-0.03572726780748079
TotHIV15,2040,1,baseline,148195150
TotHIV15,2040,1,intervention,148653540
TotHIV15,2040,1,percent_change,0.3093151159130377
TotHIV15,2040,2,baseline,148052970
TotHIV15,2040,2,intervention,148465070
TotHIV15,2040,2,percent_change,0.27834632429190714
VLsuppressed,2040,1,baseline,19.461081
VLsuppressed,2040,1,intervention,19.457633
VLsuppressed,2040,1,percent_change,-0.01771741251166256
VLsuppressed,2040,2,baseline,19.495534
VLsuppressed,2040,2,intervention,19.492337
VLsuppressed,2040,2,percent_change,-0.01639862750104776
LYlostAIDS,2045,1,baseline,15517748
LYlostAIDS,2045,1,intervention,16400373
LYlostAIDS,2045,1,percent_change,5.687842076053819
LYlostAIDS,2045,2,baseline,15185331
LYlostAIDS,2045,2,intervention,15909734
LYlostAIDS,2045,2,percent_change,4.770412972888112
NewAdultHIV,2045,1,baseline,1194942.9
NewAdultHIV,2045,1,intervention,1273207.6
NewAdultHIV,2045,1,percent_change,6.549660238995536
NewAdultHIV,2045,2,baseline,1110072.6
NewAdultHIV,2045,2,intervention,1178039.9
NewAdultHIV,2045,2,percent_change,6.122779717290546
NewDiagnosesPregnancy,2045,1,baseline,59796.63
NewDiagnosesPregnancy,2045,1,intervention,78555.75
NewDiagnosesPregnancy,2045,1,percent_change,31.37153381386209
NewDiagnosesPregnancy,2045,2,baseline,57051.72
NewDiagnosesPregnancy,2045,2,intervention,74359.75
NewDiagnosesPregnancy,2045,2,percent_change,30.3374376793548
Number1stHIVtestsPos,2045,1,baseline,1213841.1
Number1stHIVtestsPos,2045,1,intervention,1238364.6
Number1stHIVtestsPos,2045,1,percent_change,2.0203220998201497
Number1stHIVtestsPos,2045,2,baseline,1138477.7
Number1stHIVtestsPos,2045,2,intervention,1155990.9
Number1stHIVtestsPos,2045,2,percent_change,1.5382997840010353
RediagnosesPregnancy,2045,1,baseline,172084.64
RediagnosesPregnancy,2045,1,intervention,176688.29
RediagnosesPregnancy,2045,1,percent_change,2.6752242384910088
RediagnosesPregnancy,2045,2,baseline,154869.02
RediagnosesPregnancy,2045,2,intervention,158040.57
RediagnosesPregnancy,2045,2,percent_change,2.047891824975723
StartingARTtot,2045,1,baseline,1232384
StartingARTtot,2045,1,intervention,1243259.2
StartingARTtot,2045,1,percent_change,0.8824522226838349
StartingARTtot,2045,2,baseline,1170451.1
StartingARTtot,2045,2,intervention,1176823
StartingARTtot,2045,2,percent_change,0.5443969423412824
TotalAIDSdeathsadult,2045,1,baseline,699059.8
TotalAIDSdeathsadult,2045,1,intervention,726471.4
TotalAIDSdeathsadult,2045,1,percent_change,3.9212096018108857
TotalAIDSdeathsadult,2045,2,baseline,683377.7
TotalAIDSdeathsadult,2045,2,intervention,704927.2
TotalAIDSdeathsadult,2045,2,percent_change,3.1533806268480813
TotalHIVtests,2045,1,baseline,568459700
TotalHIVtests,2045,1,intervention,411676100
TotalHIVtests,2045,1,percent_change,-27.580424786488823
TotalHIVtests,2045,2,baseline,463149800
TotalHIVtests,2045,2,intervention,339552500
TotalHIVtests,2045,2,percent_change,-26.68624708463655
TotANCtests,2045,1,baseline,41474110
TotANCtests,2045,1,intervention,41460470
TotANCtests,2045,1,percent_change,-0.03288798722865904
TotANCtests,2045,2,baseline,41590010
TotANCtests,2045,2,intervention,41577670
TotANCtests,2045,2,percent_change,-0.02967058675869518
TotHIV15,2045,1,baseline,134765310
TotHIV15,2045,1,intervention,135143730
TotHIV15,2045,1,percent_change,0.2807992650334125
TotHIV15,2045,2,baseline,134174350
TotHIV15,2045,2,intervention,134516300
TotHIV15,2045,2,percent_change,0.25485497041722205
VLsuppressed,2045,1,baseline,19.48538
VLsuppressed,2045,1,intervention,19.482252
VLsuppressed,2045,1,percent_change,-0.016053061320847946
VLsuppressed,2045,2,baseline,19.519064
VLsuppressed,2045,2,intervention,19.516183
VLsuppressed,2045,2,percent_change,-0.014759929062164966
LYlostAIDS,2050,1,baseline,12725823
LYlostAIDS,2050,1,intervention,13449785
LYlostAIDS,2050,1,percent_change,5.688920865864628
LYlostAIDS,2050,2,baseline,12364304
LYlostAIDS,2050,2,intervention,12953721
LYlostAIDS,2050,2,percent_change,4.767085959711117
NewAdultHIV,2050,1,baseline,992274.7
NewAdultHIV,2050,1,intervention,1058727.6
NewAdultHIV,2050,1,percent_change,6.697026539122699
NewAdultHIV,2050,2,baseline,915635.6
NewAdultHIV,2050,2,intervention,973686.5
NewAdultHIV,2050,2,percent_change,6.339956637771622
NewDiagnosesPregnancy,2050,1,baseline,44288.94
NewDiagnosesPregnancy,2050,1,intervention,58616.46
NewDiagnosesPregnancy,2050,1,percent_change,32.35010817599156
NewDiagnosesPregnancy,2050,2,baseline,42218.52
NewDiagnosesPregnancy,2050,2,intervention,55457.75
NewDiagnosesPregnancy,2050,2,percent_change,31.358820726069993
Number1stHIVtestsPos,2050,1,baseline,1004096.5
Number1stHIVtestsPos,2050,1,intervention,1025365
Number1stHIVtestsPos,2050,1,percent_change,2.1181729046959132
Number1stHIVtestsPos,2050,2,baseline,935817
Number1stHIVtestsPos,2050,2,intervention,951572.5
Number1stHIVtestsPos,2050,2,percent_change,1.6836090816901166
RediagnosesPregnancy,2050,1,baseline,122594.64
RediagnosesPregnancy,2050,1,intervention,126354.62
RediagnosesPregnancy,2050,1,percent_change,3.0670019504931014
RediagnosesPregnancy,2050,2,baseline,110143.39
RediagnosesPregnancy,2050,2,intervention,112808.31
RediagnosesPregnancy,2050,2,percent_change,2.419500616423735
StartingARTtot,2050,1,baseline,1012723.7
StartingARTtot,2050,1,intervention,1022406.8
StartingARTtot,2050,1,percent_change,0.9561443066850408
StartingARTtot,2050,2,baseline,955792.6
StartingARTtot,2050,2,intervention,962069.1
StartingARTtot,2050,2,percent_change,0.6566801207709706
TotalAIDSdeathsadult,2050,1,baseline,616481.16
TotalAIDSdeathsadult,2050,1,intervention,639761.17
TotalAIDSdeathsadult,2050,1,percent_change,3.7762727412464656
TotalAIDSdeathsadult,2050,2,baseline,598993.88
TotalAIDSdeathsadult,2050,2,intervention,617051.58
TotalAIDSdeathsadult,2050,2,percent_change,3.014671869435453
TotalHIVtests,2050,1,baseline,582052900
TotalHIVtests,2050,1,intervention,421808900
TotalHIVtests,2050,1,percent_change,-27.530830960553587
TotalHIVtests,2050,2,baseline,473932200
TotalHIVtests,2050,2,intervention,347609300
TotalHIVtests,2050,2,percent_change,-26.654213408584603
TotANCtests,2050,1,baseline,41224750
TotANCtests,2050,1,intervention,41213270
TotANCtests,2050,1,percent_change,-0.02784734898331706
TotANCtests,2050,2,baseline,41310540
TotANCtests,2050,2,intervention,41299990
TotANCtests,2050,2,percent_change,-0.025538276672248776
TotHIV15,2050,1,baseline,119324430
TotHIV15,2050,1,intervention,119642040
TotHIV15,2050,1,percent_change,0.26617349020649
TotHIV15,2050,2,baseline,118349970
TotHIV15,2050,2,intervention,118640220
TotHIV15,2050,2,percent_change,0.24524721045556663
VLsuppressed,2050,1,baseline,19.508951
VLsuppressed,2050,1,intervention,19.506025
VLsuppressed,2050,1,percent_change,-0.014998243626726275
VLsuppressed,2050,2,baseline,19.542117
VLsuppressed,2050,2,intervention,19.539436
VLsuppressed,2050,2,percent_change,-0.013719086831803317
