"years","TotalHIVtests_baseline","TotalHIVtests_2025","TotalHIVtests_2030","TotalHIVtests_2035","TotalHIVtests_2040","TotalHIVtests_2045","TotalHIVtests_2050","TotalHIVtests_2055","TotalHIVtests_2060","TotalHIVtests_2065","TotalNewHIV_baseline","TotalNewHIV_2025","TotalNewHIV_2030","TotalNewHIV_2035","TotalNewHIV_2040","TotalNewHIV_2045","TotalNewHIV_2050","TotalNewHIV_2055","TotalNewHIV_2060","TotalNewHIV_2065","LYlostAIDS_baseline","LYlostAIDS_2025","LYlostAIDS_2030","LYlostAIDS_2035","LYlostAIDS_2040","LYlostAIDS_2045","LYlostAIDS_2050","LYlostAIDS_2055","LYlostAIDS_2060","LYlostAIDS_2065","AIDSdeathsAdultM_baseline","AIDSdeathsAdultM_2025","AIDSdeathsAdultM_2030","AIDSdeathsAdultM_2035","AIDSdeathsAdultM_2040","AIDSdeathsAdultM_2045","AIDSdeathsAdultM_2050","AIDSdeathsAdultM_2055","AIDSdeathsAdultM_2060","AIDSdeathsAdultM_2065","AIDSdeathsAdultF_baseline","AIDSdeathsAdultF_2025","AIDSdeathsAdultF_2030","AIDSdeathsAdultF_2035","AIDSdeathsAdultF_2040","AIDSdeathsAdultF_2045","AIDSdeathsAdultF_2050","AIDSdeathsAdultF_2055","AIDSdeathsAdultF_2060","AIDSdeathsAdultF_2065","DiagnosedHIV_M_baseline","DiagnosedHIV_M_2025","DiagnosedHIV_M_2030","DiagnosedHIV_M_2035","DiagnosedHIV_M_2040","DiagnosedHIV_M_2045","DiagnosedHIV_M_2050","DiagnosedHIV_M_2055","DiagnosedHIV_M_2060","DiagnosedHIV_M_2065","DiagnosedHIV_F_baseline","DiagnosedHIV_F_2025","DiagnosedHIV_F_2030","DiagnosedHIV_F_2035","DiagnosedHIV_F_2040","DiagnosedHIV_F_2045","DiagnosedHIV_F_2050","DiagnosedHIV_F_2055","DiagnosedHIV_F_2060","DiagnosedHIV_F_2065","Number1stHIVtestsPos_baseline","Number1stHIVtestsPos_2025","Number1stHIVtestsPos_2030","Number1stHIVtestsPos_2035","Number1stHIVtestsPos_2040","Number1stHIVtestsPos_2045","Number1stHIVtestsPos_2050","Number1stHIVtestsPos_2055","Number1stHIVtestsPos_2060","Number1stHIVtestsPos_2065","StartingARTtot_baseline","StartingARTtot_2025","StartingARTtot_2030","StartingARTtot_2035","StartingARTtot_2040","StartingARTtot_2045","StartingARTtot_2050","StartingARTtot_2055","StartingARTtot_2060","StartingARTtot_2065","Prop1stHIVtestsPos_baseline","Prop1stHIVtestsPos_2025","Prop1stHIVtestsPos_2030","Prop1stHIVtestsPos_2035","Prop1stHIVtestsPos_2040","Prop1stHIVtestsPos_2045","Prop1stHIVtestsPos_2050","Prop1stHIVtestsPos_2055","Prop1stHIVtestsPos_2060","Prop1stHIVtestsPos_2065","NewDiagnosesPregnancy_baseline","NewDiagnosesPregnancy_2025","NewDiagnosesPregnancy_2030","NewDiagnosesPregnancy_2035","NewDiagnosesPregnancy_2040","NewDiagnosesPregnancy_2045","NewDiagnosesPregnancy_2050","NewDiagnosesPregnancy_2055","NewDiagnosesPregnancy_2060","NewDiagnosesPregnancy_2065","TotalART15F_baseline","TotalART15F_2025","TotalART15F_2030","TotalART15F_2035","TotalART15F_2040","TotalART15F_2045","TotalART15F_2050","TotalART15F_2055","TotalART15F_2060","TotalART15F_2065","TotalART15M_baseline","TotalART15M_2025","TotalART15M_2030","TotalART15M_2035","TotalART15M_2040","TotalART15M_2045","TotalART15M_2050","TotalART15M_2055","TotalART15M_2060","TotalART15M_2065","RediagnosesPregnancy_baseline","RediagnosesPregnancy_2025","RediagnosesPregnancy_2030","RediagnosesPregnancy_2035","RediagnosesPregnancy_2040","RediagnosesPregnancy_2045","RediagnosesPregnancy_2050","RediagnosesPregnancy_2055","RediagnosesPregnancy_2060","RediagnosesPregnancy_2065","TotANCtests_baseline","TotANCtests_2025","TotANCtests_2030","TotANCtests_2035","TotANCtests_2040","TotANCtests_2045","TotANCtests_2050","TotANCtests_2055","TotANCtests_2060","TotANCtests_2065","TotalAIDSdeathsAdult_baseline","TotalAIDSdeathsAdult_2025","TotalAIDSdeathsAdult_2030","TotalAIDSdeathsAdult_2035","TotalAIDSdeathsAdult_2040","TotalAIDSdeathsAdult_2045","TotalAIDSdeathsAdult_2050","TotalAIDSdeathsAdult_2055","TotalAIDSdeathsAdult_2060","TotalAIDSdeathsAdult_2065","TotalARTAdult_baseline","TotalARTAdult_2025","TotalARTAdult_2030","TotalARTAdult_2035","TotalARTAdult_2040","TotalARTAdult_2045","TotalARTAdult_2050","TotalARTAdult_2055","TotalARTAdult_2060","TotalARTAdult_2065","TotalDiagnosedHIV_baseline","TotalDiagnosedHIV_2025","TotalDiagnosedHIV_2030","TotalDiagnosedHIV_2035","TotalDiagnosedHIV_2040","TotalDiagnosedHIV_2045","TotalDiagnosedHIV_2050","TotalDiagnosedHIV_2055","TotalDiagnosedHIV_2060","TotalDiagnosedHIV_2065","ANCTestPositivity_baseline","ANCTestPositivity_2025","ANCTestPositivity_2030","ANCTestPositivity_2035","ANCTestPositivity_2040","ANCTestPositivity_2045","ANCTestPositivity_2050","ANCTestPositivity_2055","ANCTestPositivity_2060","ANCTestPositivity_2065","ARTinitiationRatio_baseline","ARTinitiationRatio_2025","ARTinitiationRatio_2030","ARTinitiationRatio_2035","ARTinitiationRatio_2040","ARTinitiationRatio_2045","ARTinitiationRatio_2050","ARTinitiationRatio_2055","ARTinitiationRatio_2060","ARTinitiationRatio_2065","TotalARTRatio_baseline","TotalARTRatio_2025","TotalARTRatio_2030","TotalARTRatio_2035","TotalARTRatio_2040","TotalARTRatio_2045","TotalARTRatio_2050","TotalARTRatio_2055","TotalARTRatio_2060","TotalARTRatio_2065","TotalTestPositivity_baseline","TotalTestPositivity_2025","TotalTestPositivity_2030","TotalTestPositivity_2035","TotalTestPositivity_2040","TotalTestPositivity_2045","TotalTestPositivity_2050","TotalTestPositivity_2055","TotalTestPositivity_2060","TotalTestPositivity_2065"
2006,2439100,2439100,2439100,2439100,2439100,2439100,2439100,2439100,2439100,2439100,473240.5,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,13151950,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,101578,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,118626,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,508552.5,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,1117030,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,496258.5,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,195598.5,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,0.2034615,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,124218,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,129929,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,47691.05,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,68265.95,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,805904.5,473240.5,13151950,101578,118626,508552.5,1117035,496259.5,195598.5,0.203464,220204,946481,26303900,203156,237252,1017105,2234070,992519,391197,0.406928,177620.05,946481,26303900,203156,237252,1017105,2234070,992519,391197,0.406928,1625582.5,946481,26303900,203156,237252,1017105,2234070,992519,391197,0.406928,15.4134888190846,100,100,100,100,100,100,100,100,100,0.394146397492436,1,1,1,1,1,1,1,1,1,0.109265478682257,1,1,1,1,1,1,1,1,1,20.345967774999,19.4022590299701,539.213234389734,4.16456889836415,4.86351523102784,20.8500061498094,45.7970152925259,20.346008773728,8.01928990201304,8.34176540527244e-06
2007,2767855,2767855,2767855,2767855,2767855,2767855,2767855,2767855,2767855,2767855,459806,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,11871600,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,96199.35,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,106018,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,621209,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,1390450,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,535416.5,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,266838.5,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,0.1934435,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,131366.5,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,231032.5,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,83555.1,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,91532.9,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,990007.5,459806,11871650,96199.45,106018,621209,1390450,535417,266838.5,0.1934455,202217.35,919612,23743300,192398.9,212036,1242418,2780900,1070834,533677,0.386891,314587.6,919612,23743300,192398.9,212036,1242418,2780900,1070834,533677,0.386891,2011659,919612,23743300,192398.9,212036,1242418,2780900,1070834,533677,0.386891,13.2692429097759,100,100,100,100,100,100,100,100,100,0.498375563696674,1,1,1,1,1,1,1,1,1,0.156382170139174,1,1,1,1,1,1,1,1,1,19.3440949760735,16.6123586676325,428.911557867013,3.47559572304185,3.83033070735281,22.4436973757657,50.2356517953433,19.3441130406036,9.64062423790264,6.98900412051932e-06
2008,3468235,3468235,3468235,3468235,3468235,3468235,3468235,3468235,3468235,3468235,442453,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,10547400,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,90214.9,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,94596.4,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,747414.5,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,1684220,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,544360,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,327455.5,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,0.156959,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,122743.5,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,370204,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,133611.5,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,106254,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,1119690,442453,10547450,90215.05,94596.4,747415,1684220,544361,327455.5,0.15696,184811.3,884906,21094900,180430.1,189192.8,1494830,3368440,1088722,654911,0.31392,503815.5,884906,21094900,180430.1,189192.8,1494830,3368440,1088722,654911,0.31392,2431634.5,884906,21094900,180430.1,189192.8,1494830,3368440,1088722,654911,0.31392,10.9622752726201,100,100,100,100,100,100,100,100,100,0.601542177970461,1,1,1,1,1,1,1,1,1,0.207192117071871,1,1,1,1,1,1,1,1,1,15.6955915617021,12.7572958579796,304.115782235056,2.60118042750852,2.72750837241421,21.5502986389331,48.5612999119149,15.6956203948118,9.44156033256109,4.52564488853841e-06
2009,7803965,7803965,7803965,7803965,7803965,7803965,7803965,7803965,7803965,7803965,422774.5,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,9034220,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,83408.8,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,84090.45,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,879877,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,1981065,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,784590,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,444481,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,0.10054195,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,102881,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,539123,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,196164.5,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,120531,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,1214855,422774.5,9034240,83408.9,84090.5,879877,1981070,784591,444481,0.10054255,167499.25,845549,18068480,166817.8,168181,1759754,3962140,1569182,888962,0.2010851,735287.5,845549,18068480,166817.8,168181,1759754,3962140,1569182,888962,0.2010851,2860942,845549,18068480,166817.8,168181,1759754,3962140,1569182,888962,0.2010851,8.46858267035984,100,100,100,100,100,100,100,100,100,0.566513720541939,1,1,1,1,1,1,1,1,1,0.257008880291876,1,1,1,1,1,1,1,1,1,10.0537355049645,5.41743203615085,115.764742666068,1.068801564333,1.07753558607708,11.2747430312668,25.3854290735543,10.0537483189635,5.69557910626201,1.28835213894475e-06
2010,10679200,10679200,10679200,10679200,10679200,10679200,10679200,10679200,10679200,10679200,406223.5,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,7347665,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,72835.5,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,72080.3,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,1114505,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,2408735,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,751041.5,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,563834,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,0.0703317,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,80183.35,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,768199,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,289400.5,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,136739.5,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,1330970,406223.5,7347685,72835.6,72080.35,1114505,2408735,751042,563834,0.07033205,144915.8,812447,14695370,145671.2,144160.7,2229010,4817470,1502084,1127668,0.1406641,1057599.5,812447,14695370,145671.2,144160.7,2229010,4817470,1502084,1127668,0.1406641,3523240,812447,14695370,145671.2,144160.7,2229010,4817470,1502084,1127668,0.1406641,6.02442955137982,100,100,100,100,100,100,100,100,100,0.750736144407466,1,1,1,1,1,1,1,1,1,0.300178103109638,1,1,1,1,1,1,1,1,1,7.03275058056783,3.80387575848378,68.8037025245337,0.68203236197468,0.674960203011462,10.4362218143681,22.5553880440482,7.03275526256648,5.27974005543486,6.58589126526332e-07
2011,9821760,9821760,9821760,9821760,9821760,9821760,9821760,9821760,9821760,9821760,389893,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,5906800,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,60530.1,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,60564.45,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,1352440,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,2803480,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,594995.5,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,685332,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,0.06058145,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,64237.6,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,1053030,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,419236.5,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,139294.5,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,1420805,389893,5906815,60530.2,60564.5,1352440,2803480,594995.5,685332,0.0605817,121094.55,779786,11813630,121060.4,121129,2704880,5606960,1189991,1370664,0.1211634,1472266.5,779786,11813630,121060.4,121129,2704880,5606960,1189991,1370664,0.1211634,4155920,779786,11813630,121060.4,121129,2704880,5606960,1189991,1370664,0.1211634,4.52121156668227,100,100,100,100,100,100,100,100,100,1.1518271986931,1,1,1,1,1,1,1,1,1,0.35425766136018,1,1,1,1,1,1,1,1,1,6.05793157234549,3.96968567751605,60.1400869090672,0.61628669403447,0.616635918613365,13.7698335125273,28.5435604209429,6.05793157234549,6.97769035284918,6.16811039976542e-07
2012,10041350,10041350,10041350,10041350,10041350,10041350,10041350,10041350,10041350,10041350,369788.5,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,4869720,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,51020.95,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,49937.25,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,1544350,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,3098410,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,506385.5,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,658970.5,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,0.0504312,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,55145.15,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,1411480,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,583365.5,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,133385,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,1492510,369788.5,4869730,51021,49937.3,1544350,3098410,506385.5,658970.5,0.0504314,100958.2,739577,9739460,102042,99874.6,3088700,6196820,1012771,1317941,0.1008628,1994845.5,739577,9739460,102042,99874.6,3088700,6196820,1012771,1317941,0.1008628,4642760,739577,9739460,102042,99874.6,3088700,6196820,1012771,1317941,0.1008628,3.69479266470576,100,100,100,100,100,100,100,100,100,1.30132181904893,1,1,1,1,1,1,1,1,1,0.42966802074628,1,1,1,1,1,1,1,1,1,5.04300218596105,3.68265721242662,48.4967658731147,0.508108969411484,0.497316595876053,15.3799040965607,30.8565083380223,5.04300218596105,6.56256877810255,5.02237248975486e-07
2013,8349385,8349385,8349385,8349385,8349385,8349385,8349385,8349385,8349385,8349385,351702,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,4183085,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,45571.45,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,42121.2,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,1707005,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,3349275,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,403782,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,538832.5,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,0.04836135,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,50497.3,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,1734745,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,734095.5,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,126703,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,1566355,351702,4183095,45571.5,42121.25,1707005,3349280,403782.5,538832.5,0.04836155,87692.65,703404,8366190,91143,84242.5,3414010,6698560,807565,1077665,0.0967231,2468840.5,703404,8366190,91143,84242.5,3414010,6698560,807565,1077665,0.0967231,5056280,703404,8366190,91143,84242.5,3414010,6698560,807565,1077665,0.0967231,3.22387325989319,100,100,100,100,100,100,100,100,100,1.33446389388333,1,1,1,1,1,1,1,1,1,0.488272109139526,1,1,1,1,1,1,1,1,1,4.83606876434612,4.2123102480003,50.1006361546389,0.545806667197644,0.504483264336236,20.4446794584272,40.1140922355359,4.83607475281114,6.45355915435688,5.79222900848386e-07
2014,9684430,9684430,9684430,9684430,9684430,9684430,9684430,9684430,9684430,9684430,331159,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,3738215,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,42416.1,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,36939.85,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,1831240,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,3549030,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,409735,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,582040,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,0.0423092,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,47019.2,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,2000575,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,854722.5,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,118463.5,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,1632140,331159.5,3738225,42416.2,36939.9,1831240,3549030,409735,582040,0.0423094,79355.95,662319,7476450,84832.4,73879.8,3662480,7098060,819470,1164080,0.0846188,2855297.5,662319,7476450,84832.4,73879.8,3662480,7098060,819470,1164080,0.0846188,5380270,662319,7476450,84832.4,73879.8,3662480,7098060,819470,1164080,0.0846188,2.88083130123641,100,100,100,100,100,100,100,100,100,1.42052790218068,1,1,1,1,1,1,1,1,1,0.530697808846024,1,1,1,1,1,1,1,1,1,4.23086335489027,3.4195042971037,38.60036161137,0.437983443527394,0.38143597506513,18.9091149401668,36.6467618641469,4.23086335489027,6.01005944593538,4.36880642433267e-07
2015,12487700,12487700,12487700,12487700,12487700,12487700,12487700,12487700,12487700,12487700,314992,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,3388635,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,40131.45,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,33550.4,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,1958955,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,3756700,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,422773,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,610726.5,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,0.0338563,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,41445.45,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,2293935,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,981075,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,108371.5,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,1688815,314992,3388640,40131.5,33550.45,1958955,3756700,422773.5,610726.5,0.03385645,73681.85,629984,6777280,80263,67100.9,3917910,7513400,845547,1221453,0.0677129,3275010,629984,6777280,80263,67100.9,3917910,7513400,845547,1221453,0.0677129,5715655,629984,6777280,80263,67100.9,3917910,7513400,845547,1221453,0.0677129,2.45411427539429,100,100,100,100,100,100,100,100,100,1.44457309241602,1,1,1,1,1,1,1,1,1,0.572989447403666,1,1,1,1,1,1,1,1,1,3.38551534710155,2.52241805937042,27.1358216485021,0.321368226334713,0.268667969281773,15.6870760828655,30.0832018706407,3.38551935104142,4.89062437438439,2.71118380486399e-07
2016,13689450,13689450,13689450,13689450,13689450,13689450,13689450,13689450,13689450,13689450,290579.5,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,3070805,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,37643.75,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,30697.35,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,2092300,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,3973215,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,384230.5,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,712882,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,0.0280686,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,35072.8,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,2593065,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,1117475,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,91984.55,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,1706040,290580,3070815,37643.85,30697.35,2092300,3973215,384231,712882,0.0280688,68341.1,581160,6141630,75287.7,61394.7,4184600,7946430,768462,1425764,0.0561376,3710540,581160,6141630,75287.7,61394.7,4184600,7946430,768462,1425764,0.0561376,6065515,581160,6141630,75287.7,61394.7,4184600,7946430,768462,1425764,0.0561376,2.0558017397013,100,100,100,100,100,100,100,100,100,1.85534984859349,1,1,1,1,1,1,1,1,1,0.61174360297518,1,1,1,1,1,1,1,1,1,2.8067636026283,2.1226564982523,22.4319822929336,0.274984385786135,0.224240930059279,15.2840325944432,29.0239198799075,2.80676725507599,5.20752842517413,2.05039647319651e-07
