"years","TotalHIVtests_baseline","TotalHIVtests_2025","TotalHIVtests_2030","TotalHIVtests_2035","TotalHIVtests_2040","TotalHIVtests_2045","TotalHIVtests_2050","TotalHIVtests_2055","TotalHIVtests_2060","TotalHIVtests_2065","BirthsDiagHIV_baseline","BirthsDiagHIV_2025","BirthsDiagHIV_2030","BirthsDiagHIV_2035","BirthsDiagHIV_2040","BirthsDiagHIV_2045","BirthsDiagHIV_2050","BirthsDiagHIV_2055","BirthsDiagHIV_2060","BirthsDiagHIV_2065","TotBirthsHIV_baseline","TotBirthsHIV_2025","TotBirthsHIV_2030","TotBirthsHIV_2035","TotBirthsHIV_2040","TotBirthsHIV_2045","TotBirthsHIV_2050","TotBirthsHIV_2055","TotBirthsHIV_2060","TotBirthsHIV_2065","TotBirthDiagnosed_baseline","TotBirthDiagnosed_2025","TotBirthDiagnosed_2030","TotBirthDiagnosed_2035","TotBirthDiagnosed_2040","TotBirthDiagnosed_2045","TotBirthDiagnosed_2050","TotBirthDiagnosed_2055","TotBirthDiagnosed_2060","TotBirthDiagnosed_2065","VertTransmKnownPos_baseline","VertTransmKnownPos_2025","VertTransmKnownPos_2030","VertTransmKnownPos_2035","VertTransmKnownPos_2040","VertTransmKnownPos_2045","VertTransmKnownPos_2050","VertTransmKnownPos_2055","VertTransmKnownPos_2060","VertTransmKnownPos_2065","PrevPreg15to49_baseline","PrevPreg15to49_2025","PrevPreg15to49_2030","PrevPreg15to49_2035","PrevPreg15to49_2040","PrevPreg15to49_2045","PrevPreg15to49_2050","PrevPreg15to49_2055","PrevPreg15to49_2060","PrevPreg15to49_2065","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","pct_vert_trans_baseline","pct_vert_trans_2025","pct_vert_trans_2030","pct_vert_trans_2035","pct_vert_trans_2040","pct_vert_trans_2045","pct_vert_trans_2050","pct_vert_trans_2055","pct_vert_trans_2060","pct_vert_trans_2065"
2007,2764850,2764850,NA,NA,NA,NA,NA,NA,NA,NA,0.417988,0.417988,NA,NA,NA,NA,NA,NA,NA,NA,307419,307419,NA,NA,NA,NA,NA,NA,NA,NA,251005,251005,NA,NA,NA,NA,NA,NA,NA,NA,26482.4,26482.4,NA,NA,NA,NA,NA,NA,NA,NA,0.261568,0.261568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.61443176901883,8.61443176901883,NA,NA,NA,NA,NA,NA,NA,NA
2008,3463450,3463450,NA,NA,NA,NA,NA,NA,NA,NA,0.490753,0.490753,NA,NA,NA,NA,NA,NA,NA,NA,309604,309604,NA,NA,NA,NA,NA,NA,NA,NA,269689,269689,NA,NA,NA,NA,NA,NA,NA,NA,19815.5,19815.5,NA,NA,NA,NA,NA,NA,NA,NA,0.263638,0.263638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.40027260629708,6.40027260629708,NA,NA,NA,NA,NA,NA,NA,NA
2009,7784570,7784570,NA,NA,NA,NA,NA,NA,NA,NA,0.558442,0.558442,NA,NA,NA,NA,NA,NA,NA,NA,305409,305409,NA,NA,NA,NA,NA,NA,NA,NA,278336,278336,NA,NA,NA,NA,NA,NA,NA,NA,11939.4,11939.4,NA,NA,NA,NA,NA,NA,NA,NA,0.264671,0.264671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.90931504965473,3.90931504965473,NA,NA,NA,NA,NA,NA,NA,NA
2010,10651600,10651600,NA,NA,NA,NA,NA,NA,NA,NA,0.662169,0.662169,NA,NA,NA,NA,NA,NA,NA,NA,307063,307063,NA,NA,NA,NA,NA,NA,NA,NA,290319,290319,NA,NA,NA,NA,NA,NA,NA,NA,8955.5,8955.5,NA,NA,NA,NA,NA,NA,NA,NA,0.265825,0.265825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.91650247669045,2.91650247669045,NA,NA,NA,NA,NA,NA,NA,NA
2011,9802170,9802170,NA,NA,NA,NA,NA,NA,NA,NA,0.749138,0.749138,NA,NA,NA,NA,NA,NA,NA,NA,313153,313153,NA,NA,NA,NA,NA,NA,NA,NA,299968,299968,NA,NA,NA,NA,NA,NA,NA,NA,7838.47,7838.47,NA,NA,NA,NA,NA,NA,NA,NA,0.268764,0.268764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.503079964107,2.503079964107,NA,NA,NA,NA,NA,NA,NA,NA
2012,10024700,10024700,NA,NA,NA,NA,NA,NA,NA,NA,0.795503,0.795503,NA,NA,NA,NA,NA,NA,NA,NA,319900,319900,NA,NA,NA,NA,NA,NA,NA,NA,307753,307753,NA,NA,NA,NA,NA,NA,NA,NA,7127.33,7127.33,NA,NA,NA,NA,NA,NA,NA,NA,0.272654,0.272654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22798687089716,2.22798687089716,NA,NA,NA,NA,NA,NA,NA,NA
2013,8339360,8339360,NA,NA,NA,NA,NA,NA,NA,NA,0.825207,0.825207,NA,NA,NA,NA,NA,NA,NA,NA,324521,324521,NA,NA,NA,NA,NA,NA,NA,NA,313002,313002,NA,NA,NA,NA,NA,NA,NA,NA,6092.57,6092.57,NA,NA,NA,NA,NA,NA,NA,NA,0.275452,0.275452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.87740392763488,1.87740392763488,NA,NA,NA,NA,NA,NA,NA,NA
2014,9673110,9673110,NA,NA,NA,NA,NA,NA,NA,NA,0.836976,0.836976,NA,NA,NA,NA,NA,NA,NA,NA,325150,325150,NA,NA,NA,NA,NA,NA,NA,NA,314574,314574,NA,NA,NA,NA,NA,NA,NA,NA,4212.31,4212.31,NA,NA,NA,NA,NA,NA,NA,NA,0.276874,0.276874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.29549746270952,1.29549746270952,NA,NA,NA,NA,NA,NA,NA,NA
2015,12462000,12462000,NA,NA,NA,NA,NA,NA,NA,NA,0.852155,0.852155,NA,NA,NA,NA,NA,NA,NA,NA,323609,323609,NA,NA,NA,NA,NA,NA,NA,NA,314220,314220,NA,NA,NA,NA,NA,NA,NA,NA,3569.04,3569.04,NA,NA,NA,NA,NA,NA,NA,NA,0.277501,0.277501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.10288650810083,1.10288650810083,NA,NA,NA,NA,NA,NA,NA,NA
2016,13662800,13662800,NA,NA,NA,NA,NA,NA,NA,NA,0.872398,0.872398,NA,NA,NA,NA,NA,NA,NA,NA,314401,314401,NA,NA,NA,NA,NA,NA,NA,NA,306426,306426,NA,NA,NA,NA,NA,NA,NA,NA,2840.59,2840.59,NA,NA,NA,NA,NA,NA,NA,NA,0.277297,0.277297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90349267336936,0.90349267336936,NA,NA,NA,NA,NA,NA,NA,NA
2017,13121700,13121700,NA,NA,NA,NA,NA,NA,NA,NA,0.888988,0.888988,NA,NA,NA,NA,NA,NA,NA,NA,313720,313720,NA,NA,NA,NA,NA,NA,NA,NA,306607,306607,NA,NA,NA,NA,NA,NA,NA,NA,2597.02,2597.02,NA,NA,NA,NA,NA,NA,NA,NA,0.276277,0.276277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.827814611755706,0.827814611755706,NA,NA,NA,NA,NA,NA,NA,NA
2018,14015700,14015700,NA,NA,NA,NA,NA,NA,NA,NA,0.899917,0.899917,NA,NA,NA,NA,NA,NA,NA,NA,310755,310755,NA,NA,NA,NA,NA,NA,NA,NA,304272,304272,NA,NA,NA,NA,NA,NA,NA,NA,2406.09,2406.09,NA,NA,NA,NA,NA,NA,NA,NA,0.27355,0.27355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.774272336728291,0.774272336728291,NA,NA,NA,NA,NA,NA,NA,NA
2019,17775800,17775800,NA,NA,NA,NA,NA,NA,NA,NA,0.909438,0.909438,NA,NA,NA,NA,NA,NA,NA,NA,305890,305890,NA,NA,NA,NA,NA,NA,NA,NA,299922,299922,NA,NA,NA,NA,NA,NA,NA,NA,2251.06,2251.06,NA,NA,NA,NA,NA,NA,NA,NA,0.269039,0.269039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.735905063911864,0.735905063911864,NA,NA,NA,NA,NA,NA,NA,NA
2020,13675300,13675300,NA,NA,NA,NA,NA,NA,NA,NA,0.92179,0.92179,NA,NA,NA,NA,NA,NA,NA,NA,299212,299212,NA,NA,NA,NA,NA,NA,NA,NA,293528,293528,NA,NA,NA,NA,NA,NA,NA,NA,2200.74,2200.74,NA,NA,NA,NA,NA,NA,NA,NA,0.263036,0.263036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7355119447081,0.7355119447081,NA,NA,NA,NA,NA,NA,NA,NA
2021,13178400,13178400,NA,NA,NA,NA,NA,NA,NA,NA,0.920186,0.920186,NA,NA,NA,NA,NA,NA,NA,NA,290252,290252,NA,NA,NA,NA,NA,NA,NA,NA,284964,284964,NA,NA,NA,NA,NA,NA,NA,NA,2083.53,2083.53,NA,NA,NA,NA,NA,NA,NA,NA,0.25631,0.25631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.717834846960572,0.717834846960572,NA,NA,NA,NA,NA,NA,NA,NA
2022,13808300,13808300,NA,NA,NA,NA,NA,NA,NA,NA,0.917644,0.917644,NA,NA,NA,NA,NA,NA,NA,NA,281015,281015,NA,NA,NA,NA,NA,NA,NA,NA,276043,276043,NA,NA,NA,NA,NA,NA,NA,NA,1961.93,1961.93,NA,NA,NA,NA,NA,NA,NA,NA,0.248947,0.248947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.698158461292102,0.698158461292102,NA,NA,NA,NA,NA,NA,NA,NA
2023,14125500,14125500,NA,NA,NA,NA,NA,NA,NA,NA,0.919284,0.919284,NA,NA,NA,NA,NA,NA,NA,NA,271113,271113,NA,NA,NA,NA,NA,NA,NA,NA,266465,266465,NA,NA,NA,NA,NA,NA,NA,NA,1839.31,1839.31,NA,NA,NA,NA,NA,NA,NA,NA,0.240706,0.240706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678429289631998,0.678429289631998,NA,NA,NA,NA,NA,NA,NA,NA
2024,14455900,14455900,NA,NA,NA,NA,NA,NA,NA,NA,0.921376,0.921376,NA,NA,NA,NA,NA,NA,NA,NA,260625,260625,NA,NA,NA,NA,NA,NA,NA,NA,256202,256202,NA,NA,NA,NA,NA,NA,NA,NA,1741.92,1741.92,NA,NA,NA,NA,NA,NA,NA,NA,0.231827,0.231827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.668362589928058,0.668362589928058,NA,NA,NA,NA,NA,NA,NA,NA
2025,14805000,3182660,NA,NA,NA,NA,NA,NA,NA,NA,0.922398,0.922398,NA,NA,NA,NA,NA,NA,NA,NA,249989,250724,NA,NA,NA,NA,NA,NA,NA,NA,245744,246419,NA,NA,NA,NA,NA,NA,NA,NA,1655.89,1686.68,NA,NA,NA,NA,NA,NA,NA,NA,0.222741,0.223377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.662385144946378,0.672723791898661,NA,NA,NA,NA,NA,NA,NA,NA
2026,15113800,3332560,NA,NA,NA,NA,NA,NA,NA,NA,0.922666,0.896594,NA,NA,NA,NA,NA,NA,NA,NA,239399,241334,NA,NA,NA,NA,NA,NA,NA,NA,235314,237027,NA,NA,NA,NA,NA,NA,NA,NA,1576.7,1667.83,NA,NA,NA,NA,NA,NA,NA,NA,0.213587,0.215046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65860759652296,0.691087869923011,NA,NA,NA,NA,NA,NA,NA,NA
2027,15378900,3448340,NA,NA,NA,NA,NA,NA,NA,NA,0.922439,0.872064,NA,NA,NA,NA,NA,NA,NA,NA,228983,231911,NA,NA,NA,NA,NA,NA,NA,NA,225050,227596,NA,NA,NA,NA,NA,NA,NA,NA,1502.87,1650.28,NA,NA,NA,NA,NA,NA,NA,NA,0.204501,0.206698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.656323831900185,0.711600570908668,NA,NA,NA,NA,NA,NA,NA,NA
2028,15638800,3552280,NA,NA,NA,NA,NA,NA,NA,NA,0.921973,0.851218,NA,NA,NA,NA,NA,NA,NA,NA,218848,222712,NA,NA,NA,NA,NA,NA,NA,NA,215067,218399,NA,NA,NA,NA,NA,NA,NA,NA,1433.38,1631.98,NA,NA,NA,NA,NA,NA,NA,NA,0.195577,0.198532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654966003801726,0.732775961780236,NA,NA,NA,NA,NA,NA,NA,NA
2029,15899300,3649810,NA,NA,NA,NA,NA,NA,NA,NA,0.921501,0.833695,NA,NA,NA,NA,NA,NA,NA,NA,209055,213904,NA,NA,NA,NA,NA,NA,NA,NA,205428,209606,NA,NA,NA,NA,NA,NA,NA,NA,1367.44,1611.23,NA,NA,NA,NA,NA,NA,NA,NA,0.186878,0.190677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654105378967257,0.753249121101055,NA,NA,NA,NA,NA,NA,NA,NA
