"years","MTCTrateAtBirth_baseline","MTCTrateAtBirth_2025","MTCTrateAtBirth_2030","MTCTrateAtBirth_2035","MTCTrateAtBirth_2040","MTCTrateAtBirth_2045","MTCTrateAtBirth_2050","MTCTrateAtBirth_2055","MTCTrateAtBirth_2060","MTCTrateAtBirth_2065","MTCTrateBirthDiag_baseline","MTCTrateBirthDiag_2025","MTCTrateBirthDiag_2030","MTCTrateBirthDiag_2035","MTCTrateBirthDiag_2040","MTCTrateBirthDiag_2045","MTCTrateBirthDiag_2050","MTCTrateBirthDiag_2055","MTCTrateBirthDiag_2060","MTCTrateBirthDiag_2065"
2028,0.00936724,0.0104996,0.00936724,0.00936724,0.00936724,0.00936724,0.00936724,0.00936724,0.00936724,0.00936724,0.00666481,0.00747246,0.00666481,0.00666481,0.00666481,0.00666481,0.00666481,0.00666481,0.00666481,0.00666481
2029,0.00936528,0.0108245,0.00936528,0.00936528,0.00936528,0.00936528,0.00936528,0.00936528,0.00936528,0.00936528,0.00665653,0.00768694,0.00665653,0.00665653,0.00665653,0.00665653,0.00665653,0.00665653,0.00665653,0.00665653
2030,0.00936161,0.0111245,0.00949588,0.00936161,0.00936161,0.00936161,0.00936161,0.00936161,0.00936161,0.00936161,0.00665021,0.00788441,0.00675679,0.00665021,0.00665021,0.00665021,0.00665021,0.00665021,0.00665021,0.00665021
2031,0.00935445,0.0113918,0.00981573,0.00935445,0.00935445,0.00935445,0.00935445,0.00935445,0.00935445,0.00935445,0.00664415,0.00805981,0.00698632,0.00664415,0.00664415,0.00664415,0.00664415,0.00664415,0.00664415,0.00664415
2032,0.00934232,0.0116226,0.0101559,0.00934232,0.00934232,0.00934232,0.00934232,0.00934232,0.00934232,0.00934232,0.00663732,0.00821149,0.00722595,0.00663732,0.00663732,0.00663732,0.00663732,0.00663732,0.00663732,0.00663732
2033,0.00932503,0.0118168,0.010493,0.00932503,0.00932503,0.00932503,0.00932503,0.00932503,0.00932503,0.00932503,0.00662916,0.00833972,0.00746119,0.00662916,0.00662916,0.00662916,0.00662916,0.00662916,0.00662916,0.00662916
2034,0.00930331,0.0119764,0.0108102,0.00930331,0.00930331,0.00930331,0.00930331,0.00930331,0.00930331,0.00930331,0.00661943,0.00844575,0.0076799,0.00661943,0.00661943,0.00661943,0.00661943,0.00661943,0.00661943,0.00661943
2035,0.00927799,0.0121042,0.0110962,0.00941173,0.00927799,0.00927799,0.00927799,0.00927799,0.00927799,0.00927799,0.00660819,0.00853137,0.00787432,0.00671416,0.00660819,0.00660819,0.00660819,0.00660819,0.00660819,0.00660819
2036,0.00925032,0.0122039,0.0113462,0.00970827,0.00925032,0.00925032,0.00925032,0.00925032,0.00925032,0.00925032,0.00659574,0.00859885,0.00804181,0.00693441,0.00659574,0.00659574,0.00659574,0.00659574,0.00659574,0.00659574
2037,0.00922182,0.01228,0.0115608,0.0100262,0.00922182,0.00922182,0.00922182,0.00922182,0.00922182,0.00922182,0.00658261,0.00865098,0.00818339,0.00716232,0.00658261,0.00658261,0.00658261,0.00658261,0.00658261,0.00658261
